,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2016년 04월 01일,52,46,13,11,2,0,0,4,4,3,0,10,0,0,3,1,2,48,잠실
2016년 04월 01일,39,37,11,9,2,0,0,2,1,2,0,6,1,0,0,2,0,49,고척
2016년 04월 01일,42,36,11,9,0,0,2,8,7,4,1,7,2,1,1,0,0,247,인천
2016년 04월 01일,37,31,8,6,0,0,2,5,4,3,1,3,2,1,2,1,0,160,대구
2016년 04월 01일,38,34,8,4,3,0,1,4,3,3,1,10,0,0,0,1,0,73,마산
2016년 04월 02일,50,43,13,9,4,0,0,7,7,3,2,9,0,1,2,0,1,178,잠실
2016년 04월 02일,39,34,8,5,3,0,0,3,3,5,0,9,2,1,0,0,1,52,고척
2016년 04월 02일,41,34,8,8,0,0,0,3,3,6,0,3,0,2,1,2,1,22,인천
2016년 04월 02일,42,38,12,5,6,0,1,6,6,4,0,6,1,0,0,1,0,215,대구
2016년 04월 02일,39,33,8,5,2,0,1,4,4,5,0,8,1,1,1,0,0,127,마산
2016년 04월 03일,,,,,,,,,,,,,,,,,,,잠실
2016년 04월 03일,43,38,12,10,1,1,0,5,5,4,0,5,0,0,1,1,0,127,고척
2016년 04월 03일,40,33,7,4,2,0,1,5,5,6,1,9,0,1,0,0,0,133,인천
2016년 04월 03일,,,,,,,,,,,,,,,,,,,대구
2016년 04월 03일,,,,,,,,,,,,,,,,,,,마산
2016년 04월 05일,37,31,5,5,0,0,0,2,2,5,1,9,0,0,0,1,0,-25,잠실
2016년 04월 05일,45,38,10,8,2,0,0,3,3,6,1,6,0,0,0,1,0,63,수원
2016년 04월 05일,40,32,7,6,0,0,1,5,4,7,1,11,2,2,0,1,1,63,대전
2016년 04월 05일,35,34,7,7,0,0,0,1,1,1,0,9,1,0,0,0,1,-55,광주
2016년 04월 05일,35,30,4,2,2,0,0,1,1,2,2,12,1,0,1,0,1,-65,사직
2016년 04월 06일,29,28,2,2,0,0,0,0,0,1,0,12,0,0,0,1,3,-171,잠실
2016년 04월 06일,47,41,14,10,3,1,0,11,7,5,0,3,2,0,1,1,2,237,수원
2016년 04월 06일,40,32,6,4,2,0,0,6,5,7,1,12,0,0,0,0,0,48,대전
2016년 04월 06일,,,,,,,,,,,,,,,,,,,광주
2016년 04월 06일,21,16,1,1,0,0,0,1,1,4,1,2,0,0,0,1,1,-21,사직
2016년 04월 07일,43,41,15,12,2,1,0,8,8,2,0,4,0,1,0,0,0,228,잠실
2016년 04월 07일,40,35,9,6,2,0,1,3,3,4,0,4,3,0,1,0,1,165,수원
2016년 04월 07일,37,33,7,3,1,1,2,7,7,4,0,4,1,0,0,1,0,217,대전
2016년 04월 07일,43,38,11,8,1,0,2,8,8,4,1,9,2,0,0,0,0,246,광주
2016년 04월 07일,42,36,12,8,1,0,3,8,8,3,1,5,2,1,2,0,0,332,사직
2016년 04월 08일,36,32,9,6,2,0,1,4,4,4,0,12,2,2,0,1,2,62,잠실
2016년 04월 08일,36,33,4,3,0,0,1,2,2,2,1,4,0,0,0,1,3,-34,인천
2016년 04월 08일,32,28,3,3,0,0,0,0,0,4,0,7,1,0,0,2,3,-110,수원
2016년 04월 08일,42,35,10,6,1,0,3,7,7,5,1,8,0,0,1,1,0,260,사직
2016년 04월 08일,39,31,5,2,2,0,1,4,4,6,2,9,0,0,0,1,1,58,마산
2016년 04월 09일,57,49,16,14,1,1,0,9,8,6,1,9,2,1,1,1,1,212,잠실
2016년 04월 09일,38,32,8,5,2,0,1,3,3,6,0,5,0,0,0,3,0,98,인천
2016년 04월 09일,41,36,9,7,2,0,0,6,5,3,1,9,3,0,1,0,0,127,수원
2016년 04월 09일,42,36,11,10,0,0,1,4,4,6,0,9,1,2,0,1,0,105,사직
2016년 04월 09일,32,29,7,7,0,0,0,1,1,2,0,8,0,1,1,3,0,-38,마산
2016년 04월 10일,41,32,8,5,2,1,0,5,5,5,1,10,0,0,3,0,0,141,잠실
2016년 04월 10일,38,37,10,8,0,0,2,6,5,1,0,6,1,1,0,0,1,133,인천
2016년 04월 10일,43,38,14,8,3,2,1,6,6,5,0,6,0,1,0,2,3,211,수원
2016년 04월 10일,40,31,6,5,1,0,0,1,1,8,0,9,1,0,1,1,1,11,사직
2016년 04월 10일,38,29,6,5,1,0,0,2,2,4,1,12,0,0,4,0,0,16,마산
2016년 04월 12일,46,44,16,11,3,1,1,11,10,2,0,10,0,1,0,0,0,269,잠실
2016년 04월 12일,35,33,7,5,0,0,2,2,2,1,1,6,1,1,0,0,1,70,고척
2016년 04월 12일,44,37,10,5,1,0,4,7,7,6,1,9,0,0,0,0,2,278,인천
2016년 04월 12일,45,33,9,3,4,0,2,8,7,9,1,7,0,0,2,1,1,255,대전
2016년 04월 12일,39,37,10,6,1,0,3,5,5,1,0,4,0,0,1,0,2,179,대구
2016년 04월 13일,36,31,8,7,0,0,1,3,3,3,1,8,0,0,1,3,0,44,잠실
2016년 04월 13일,48,42,13,10,2,0,1,7,7,5,0,11,2,1,1,0,2,170,고척
2016년 04월 13일,33,30,6,5,1,0,0,0,0,2,1,10,0,1,0,2,0,-71,인천
2016년 04월 13일,46,40,15,13,1,0,1,7,6,4,1,6,0,1,1,0,0,229,대전
2016년 04월 13일,39,32,10,8,2,0,0,7,7,4,1,5,1,1,2,1,0,177,대구
2016년 04월 14일,46,41,15,11,2,1,1,9,9,4,0,8,0,0,1,0,1,271,잠실
2016년 04월 14일,40,36,10,6,2,0,2,5,5,3,0,7,1,1,1,0,2,173,고척
2016년 04월 14일,42,35,10,7,2,0,1,6,6,6,0,11,0,0,1,0,0,150,인천
2016년 04월 14일,48,41,14,8,2,0,4,17,15,6,1,7,0,0,0,1,1,463,대전
2016년 04월 14일,39,34,8,4,2,0,2,5,5,4,1,16,2,0,0,1,2,98,대구
2016년 04월 15일,37,35,6,6,0,0,0,2,2,2,0,5,0,0,0,1,2,-58,잠실
2016년 04월 15일,41,31,9,7,0,0,2,7,7,6,1,9,1,1,3,2,0,226,수원
2016년 04월 15일,55,44,19,14,1,0,4,18,16,10,0,7,2,0,1,2,1,570,대전
2016년 04월 15일,41,34,10,9,1,0,0,6,5,5,1,6,1,2,1,0,3,80,광주
2016년 04월 15일,33,31,4,4,0,0,0,0,0,2,0,13,0,1,0,0,1,-146,마산
2016년 04월 16일,,,,,,,,,,,,,,,,,,,잠실
2016년 04월 16일,,,,,,,,,,,,,,,,,,,수원
2016년 04월 16일,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,대전
2016년 04월 16일,,,,,,,,,,,,,,,,,,,광주
2016년 04월 16일,7,5,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,-8,마산
2016년 04월 17일,34,28,3,3,0,0,0,2,2,4,0,5,1,0,2,1,1,-35,잠실
2016년 04월 17일,51,42,11,9,1,0,1,10,9,6,1,7,0,0,2,2,2,209,수원
2016년 04월 17일,40,33,10,6,2,0,2,6,6,6,0,11,1,2,1,0,3,173,대전
2016년 04월 17일,33,32,9,8,0,1,0,2,2,0,1,3,0,2,0,3,0,53,광주
2016년 04월 17일,43,37,12,7,3,0,2,8,8,4,1,7,1,0,1,1,0,293,마산
2016년 04월 19일,43,36,12,8,3,0,1,8,7,4,2,6,0,1,1,0,1,223,잠실
2016년 04월 19일,38,34,10,5,4,0,1,3,3,4,0,8,0,1,0,1,0,126,인천
2016년 04월 19일,35,32,7,5,2,0,0,3,3,3,0,7,0,1,0,1,1,20,수원
2016년 04월 19일,39,36,10,9,0,0,1,2,2,3,0,7,0,1,0,1,0,49,광주
2016년 04월 19일,44,38,8,7,0,0,1,3,3,6,0,11,0,0,0,0,1,39,사직
2016년 04월 20일,36,33,11,8,3,0,0,3,3,2,0,6,0,1,1,3,1,66,잠실
2016년 04월 20일,35,33,8,7,0,0,1,1,1,2,0,9,0,0,0,2,3,-25,인천
2016년 04월 20일,47,40,16,11,3,0,2,13,12,4,1,10,0,0,2,1,1,364,수원
2016년 04월 20일,41,34,9,9,0,0,0,2,1,5,0,5,0,2,2,1,1,12,광주
2016년 04월 20일,38,36,10,8,1,0,1,4,4,2,0,3,0,0,0,1,1,88,사직
2016년 04월 21일,46,38,14,9,5,0,0,8,7,5,1,6,0,0,2,0,0,256,잠실
2016년 04월 21일,37,33,6,3,2,0,1,2,2,3,1,11,1,1,0,0,2,28,인천
2016년 04월 21일,38,34,9,5,3,0,1,3,3,4,0,7,0,0,0,1,0,96,수원
2016년 04월 21일,45,41,15,11,3,0,1,8,8,4,0,7,0,1,0,1,0,250,광주
2016년 04월 21일,46,33,13,10,3,0,0,9,9,8,0,10,2,2,5,0,0,270,사직
2016년 04월 22일,38,33,7,5,1,0,1,2,2,4,0,6,0,0,1,0,0,51,잠실
2016년 04월 22일,33,31,5,4,0,0,1,2,2,1,1,6,0,0,0,1,1,-12,고척
2016년 04월 22일,51,36,8,5,2,0,1,6,5,10,0,8,0,1,4,1,0,176,인천
2016년 04월 22일,48,41,16,11,2,1,2,13,13,6,0,5,0,0,1,1,0,423,대구
2016년 04월 22일,39,36,10,7,1,0,2,5,5,2,1,10,0,0,0,0,0,137,사직
2016년 04월 23일,34,33,6,5,0,0,1,2,2,1,0,9,0,0,0,0,0,-15,잠실
2016년 04월 23일,39,36,8,5,3,0,0,2,1,2,0,8,0,0,1,0,0,4,고척
2016년 04월 23일,32,31,6,5,0,0,1,2,2,1,0,7,0,1,0,0,3,-23,인천
2016년 04월 23일,42,38,12,9,2,0,1,11,10,4,0,5,2,0,0,1,0,277,대구
2016년 04월 23일,51,48,21,15,3,0,3,16,16,3,0,7,0,0,0,0,1,507,사직
2016년 04월 24일,35,31,4,2,1,0,1,1,1,2,2,9,0,0,0,0,2,-30,잠실
2016년 04월 24일,37,34,10,8,1,0,1,5,5,1,1,8,1,2,1,0,0,133,고척
2016년 04월 24일,33,30,5,3,0,0,2,2,2,1,1,6,0,0,1,1,0,46,인천
2016년 04월 24일,32,30,6,5,1,0,0,0,0,2,0,6,0,2,0,1,1,-63,대구
2016년 04월 24일,48,42,15,8,3,2,2,11,11,4,1,5,3,0,1,0,0,433,사직
2016년 04월 26일,42,38,13,10,2,1,0,3,3,3,0,6,0,0,1,1,1,90,잠실
2016년 04월 26일,35,30,5,3,1,1,0,1,1,3,0,8,1,0,2,0,0,-5,수원
2016년 04월 26일,37,31,7,6,1,0,0,2,2,4,1,11,1,1,1,0,1,-8,대전
2016년 04월 26일,37,32,7,7,0,0,0,2,2,4,0,8,2,1,1,0,0,32,대구
2016년 04월 26일,39,34,9,8,1,0,0,3,3,3,2,10,0,0,0,1,0,29,마산
2016년 04월 27일,34,32,6,2,3,0,1,3,3,1,0,8,1,0,1,0,0,79,잠실
2016년 04월 27일,40,36,10,7,3,0,0,4,4,4,0,6,0,1,0,0,1,105,수원
2016년 04월 27일,,,,,,,,,,,,,,,,,,,대전
2016년 04월 27일,,,,,,,,,,,,,,,,,,,대구
2016년 04월 27일,,,,,,,,,,,,,,,,,,,마산
2016년 04월 28일,37,31,8,8,0,0,0,1,1,3,2,6,2,1,1,2,0,15,잠실
2016년 04월 28일,41,36,12,8,0,0,4,8,8,4,1,5,1,1,0,1,0,341,수원
2016년 04월 28일,45,40,7,6,0,0,1,2,2,4,1,13,0,1,0,0,0,-34,대전
2016년 04월 28일,41,36,11,7,1,0,3,7,7,4,1,11,0,1,0,0,2,197,대구
2016년 04월 28일,38,37,9,4,3,1,1,4,4,1,0,7,1,0,0,0,0,136,마산
2016년 04월 29일,36,28,7,7,0,0,0,3,3,5,1,5,1,1,2,1,2,36,잠실
2016년 04월 29일,37,33,10,8,2,0,0,4,4,1,0,5,0,0,3,0,2,90,고척
2016년 04월 29일,38,33,9,6,1,0,2,5,5,4,1,8,1,1,0,2,0,153,대전
2016년 04월 29일,40,30,5,5,0,0,0,1,1,8,0,5,0,0,2,0,3,-15,광주
2016년 04월 29일,43,33,9,5,2,0,2,6,5,8,1,8,0,1,1,1,0,226,사직
2016년 04월 30일,36,34,9,8,1,0,0,3,3,2,0,6,0,0,0,0,0,61,잠실
2016년 04월 30일,42,39,13,9,3,0,1,5,5,2,0,7,1,0,1,0,0,185,고척
2016년 04월 30일,41,33,10,5,3,0,2,6,5,5,0,3,0,1,3,2,0,261,대전
2016년 04월 30일,42,32,10,5,4,0,1,7,6,8,0,6,1,2,2,1,0,237,광주
2016년 04월 30일,42,38,11,8,1,0,2,8,8,4,0,9,0,0,0,0,1,207,사직
2016년 05월 01일,37,31,9,7,2,0,0,2,2,5,0,3,0,0,1,3,0,66,잠실
2016년 05월 01일,33,30,5,3,2,0,0,1,1,1,1,4,0,0,1,1,1,-29,고척
2016년 05월 01일,43,35,11,10,0,1,0,8,8,7,0,7,2,1,1,1,0,176,대전
2016년 05월 01일,36,35,9,7,1,0,1,4,3,1,0,2,0,1,0,1,1,56,광주
2016년 05월 01일,38,36,10,7,0,0,3,5,5,1,0,8,0,0,1,1,1,173,사직
2016년 05월 03일,,,,,,,,,,,,,,,,,,,잠실
2016년 05월 03일,41,28,5,2,2,0,1,7,7,10,1,6,2,0,2,1,0,216,인천
2016년 05월 03일,,,,,,,,,,,,,,,,,,,수원
2016년 05월 03일,43,36,11,9,1,0,1,5,4,5,0,10,0,1,2,0,0,168,대구
2016년 05월 03일,37,30,5,4,0,0,1,2,2,7,0,8,1,0,0,2,1,22,광주
2016년 05월 04일,53,48,21,13,4,0,4,17,16,4,1,5,0,0,0,0,1,576,잠실
2016년 05월 04일,39,32,7,5,1,0,1,1,1,6,1,6,0,1,0,1,0,42,인천
2016년 05월 04일,41,36,13,9,2,1,1,8,7,3,1,4,0,0,1,2,0,251,수원
