,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2019년 03월 23일,33,28,6,4,1,0,1,5,5,5,0,3,0,0,0,1,0,138,잠실
2019년 03월 23일,37,31,8,5,1,0,2,7,6,6,0,5,1,0,0,1,1,207,인천
2019년 03월 23일,33,28,3,2,1,0,0,0,0,3,1,6,0,0,1,1,0,-67,광주
2019년 03월 23일,37,35,7,5,2,0,0,4,4,1,1,11,1,0,0,0,2,-13,사직
2019년 03월 23일,36,31,8,5,0,0,3,7,7,5,0,7,0,1,0,0,2,211,창원
2019년 03월 24일,30,28,3,3,0,0,0,1,1,1,1,8,0,0,0,2,3,-120,잠실
2019년 03월 24일,36,33,9,6,1,0,2,6,6,3,0,5,4,0,0,0,0,233,인천
2019년 03월 24일,36,36,9,7,2,0,0,3,3,0,0,10,0,0,0,1,2,-11,광주
2019년 03월 24일,35,31,9,6,2,0,1,6,6,2,0,7,1,0,2,0,1,165,사직
2019년 03월 24일,38,37,8,7,0,0,1,3,3,0,1,5,1,0,0,0,2,28,창원
2019년 03월 26일,37,30,7,5,1,0,1,7,7,7,0,5,0,0,0,0,0,172,잠실
2019년 03월 26일,33,33,8,4,3,0,1,3,3,0,0,12,0,0,0,1,0,33,인천
2019년 03월 26일,44,37,8,5,2,1,0,7,6,6,1,8,0,0,0,0,0,117,광주
2019년 03월 26일,36,34,9,7,2,0,0,7,6,2,0,4,0,0,0,2,0,111,사직
2019년 03월 26일,51,43,12,5,1,1,5,9,9,6,1,10,0,1,1,2,2,371,창원
2019년 03월 27일,38,33,12,11,1,0,0,3,3,4,1,6,0,1,0,5,0,83,잠실
2019년 03월 27일,39,37,5,1,3,0,1,2,2,1,1,10,0,0,0,0,1,2,인천
2019년 03월 27일,45,36,13,6,6,0,1,9,9,9,0,8,3,1,0,0,1,330,광주
2019년 03월 27일,40,35,8,3,3,0,2,4,4,5,0,7,0,0,0,0,1,145,사직
2019년 03월 27일,29,28,6,4,1,0,1,4,4,1,0,7,1,1,0,1,1,79,창원
2019년 03월 28일,38,32,9,9,0,0,0,4,4,6,0,4,1,0,0,3,0,73,잠실
2019년 03월 28일,32,27,4,2,1,0,1,3,3,4,0,8,0,1,1,1,0,47,인천
2019년 03월 28일,38,31,9,4,2,0,3,6,6,7,0,3,0,1,0,0,0,271,광주
2019년 03월 28일,40,37,11,8,3,0,0,7,7,3,0,12,0,1,0,1,3,66,사직
2019년 03월 28일,35,32,9,6,1,0,2,6,6,2,1,5,0,0,0,1,0,190,창원
2019년 03월 29일,35,29,6,3,2,0,1,2,2,5,1,9,0,0,0,1,0,70,잠실
2019년 03월 29일,38,35,9,8,1,0,0,2,2,2,0,10,1,0,1,0,0,21,고척
2019년 03월 29일,40,38,15,10,4,0,1,6,6,1,0,5,2,0,1,0,0,270,수원
2019년 03월 29일,41,36,13,8,3,0,2,9,9,3,1,9,2,0,1,1,0,316,대전
2019년 03월 29일,36,36,11,9,2,0,0,2,2,0,0,10,0,0,0,2,1,6,대구
2019년 03월 30일,35,30,3,3,0,0,0,1,1,3,1,11,2,0,1,0,1,-77,잠실
2019년 03월 30일,36,32,7,5,2,0,0,3,3,4,0,10,0,1,0,0,0,29,고척
2019년 03월 30일,40,33,10,9,0,0,1,6,5,6,0,10,0,0,1,0,0,160,수원
2019년 03월 30일,47,33,9,5,3,0,1,13,11,12,1,4,2,0,1,0,0,352,대전
2019년 03월 30일,35,30,5,3,1,0,1,2,2,3,0,9,1,0,2,0,0,30,대구
2019년 03월 31일,44,41,12,10,2,0,0,6,5,2,1,5,2,0,0,1,0,140,잠실
2019년 03월 31일,45,34,9,5,3,0,1,7,5,9,1,8,2,0,1,1,1,183,고척
2019년 03월 31일,41,36,9,7,1,0,1,2,2,5,0,11,0,0,0,0,2,36,수원
2019년 03월 31일,40,33,9,7,1,0,1,3,3,4,2,11,0,0,1,1,0,75,대전
2019년 03월 31일,42,35,10,7,0,1,2,4,4,3,3,7,2,0,1,0,1,178,대구
2019년 04월 02일,40,33,10,6,3,0,1,9,9,5,0,5,1,0,2,1,0,265,잠실
2019년 04월 02일,35,33,7,6,1,0,0,0,0,2,0,9,1,1,0,0,1,-47,인천
2019년 04월 02일,37,30,6,3,2,0,1,6,5,5,1,6,1,0,1,0,1,140,대전
2019년 04월 02일,36,34,6,5,1,0,0,1,1,2,0,8,1,0,0,1,0,-46,대구
2019년 04월 02일,40,35,11,9,2,0,0,6,5,2,1,6,4,0,2,2,1,143,창원
2019년 04월 03일,34,29,6,2,3,0,1,5,5,3,1,6,0,0,1,0,0,137,잠실
