,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10
0,2땅, ,우안, ,유비, ,4구, ,좌비,4,1,0,1,0.270,전상렬,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,두산,삼성,,
1,삼진, ,4구, ,유비, ,삼진, ,2땅,4,0,0,0,0.290,장원진,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,두산,삼성,,
2,우안, ,유안, , ,우중홈,4구, ,삼진,4,3,1,1,0.291,우즈,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,두산,삼성,,
3,4구, ,삼진, , ,좌2,우비, , ,3,1,0,1,0.341,심재학,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,두산,삼성,,
4,3직, ,삼진, , ,1파,중안, , ,4,1,1,0,0.305,김동주,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,두산,삼성,,
5, , , , , , , , , ,0,0,0,0,0.233,강봉규,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,두산,삼성,,
6, ,중안, ,유땅, ,4구,삼진, , ,3,1,0,0,0.269,안경현,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,두산,삼성,,
7, ,유직, ,1비, ,삼진, ,삼진, ,4,0,0,0,0.271,홍성흔,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,두산,삼성,,
8, ,삼진, ,2땅, ,중안, ,유땅, ,4,1,1,0,0.244,홍원기,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,두산,삼성,,
9, , ,좌비, ,4구,삼진, ,2땅, ,3,0,0,0,0.201,김민호,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,두산,삼성,,
0,중안,좌안, , ,좌비, , , , ,3,2,0,1,0.302,강동우,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,삼성,두산,,
1, , , , , , ,투땅, , ,1,0,0,0,0.275,김동수,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,삼성,두산,,
2, , , , , , , , , ,0,0,0,0,0.297,김종훈,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,삼성,두산,,
3,4구,우안, , ,4구, ,1땅, , ,2,1,0,1,0.284,박한이,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,삼성,두산,,
4,1파,1비, , ,삼진, , ,1직, ,4,0,0,0,0.284,이승엽,구장 : 시민,"관중 : 6,770",2001.08.01(수),개시 : 18:00,경기시간 : 3:14,삼성,두산,,
