,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12
0,유땅, ,유2병, ,투땅, , ,1비, ,4,0,0,0,0.300,이종범,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,KIA,현대,,,,
1,삼진, ,삼진, , ,1땅, , , ,3,0,0,0,0.286,김종국,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,KIA,현대,,,,
2, , , , , , , ,4구, ,0,0,0,0,0.246,장일현,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,KIA,현대,,,,
3, , , , , , , , , ,0,0,0,0,0.167,김인철,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,KIA,현대,,,,
4, , , , , , , , , ,0,0,0,0,0.222,김태룡,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,KIA,현대,,,,
5,4구, , ,유땅, ,우2, ,4구, ,2,1,0,0,0.342,장성호,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,KIA,현대,,,,
6,우안, , ,1파, ,3땅, ,삼진, ,4,1,0,0,0.251,홍세완,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,KIA,현대,,,,
7,3땅, , ,2땅, ,중비, , ,3땅,4,0,0,0,0.272,펨버튼,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,KIA,현대,,,,
8, ,3땅, , ,좌중2, ,삼진, ,우비,4,1,0,1,0.307,신동주,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,KIA,현대,,,,
9, ,투직, , ,2땅, ,2땅, ,삼진,4,0,0,0,0.263,김경언,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,KIA,현대,,,,
10, ,3땅, , ,유땅, ,중비, , ,3,0,1,0,0.228,김상훈,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,KIA,현대,,,,
11, , ,4구, ,좌중3, , ,우비, ,2,1,0,0,0.295,정성훈,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,KIA,현대,,,,
0,중안,삼진, , ,삼진, , ,4구, ,3,1,0,1,0.300,전준호,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,현대,KIA,,,,
1, , , , , , , , , ,0,0,0,0,0.250,정수성,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,현대,KIA,,,,
2,2땅, ,투땅, , ,우2, ,중비, ,4,1,0,0,0.232,조재호,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,현대,KIA,,,,
3,우안, ,중비, , ,삼진, ,삼진, ,4,1,1,1,0.284,박재홍,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,현대,KIA,,,,
4,중홈, ,삼진, , ,사구, , , ,2,1,2,1,0.290,프랭클린,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,현대,KIA,,,,
5,우비, , ,삼진, ,32병, , , ,3,0,0,0,0.319,심정수,구장 : 수원,"관중 : 1,012",2002.10.11(금),개시 : 18:29,경기시간 : 2:12,현대,KIA,,,,
