,0,1,2,3,4,5,6,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,7,8,9
0,중비,4구, , ,유땅, ,三안,3,1,0,0,0.317,조원우,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,한화,KIA,,,
1,우안,二직, , ,투땅, ,一땅,4,1,0,1,0.253,김수연,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,한화,KIA,,,
2,중홈, ,一땅, ,우안, , ,3,2,2,1,0.314,데이비스,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,한화,KIA,,,
3,삼진, ,삼진, ,유땅, , ,3,0,0,0,0.306,김태균,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,한화,KIA,,,
4,三땅, ,4구, , ,一비, ,2,0,0,0,0.260,이범호,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,한화,KIA,,,
5, ,二안,유땅, , ,투직, ,3,1,0,1,0.285,김인철,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,한화,KIA,,,
6, , , , , , , ,0,0,0,0,0.212,고동진,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,한화,KIA,,,
7, ,중안, ,투땅, ,유땅, ,3,1,0,0,0.275,브리또,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,한화,KIA,,,
8, ,一땅, ,二땅, , ,유땅,3,0,0,0,0.272,신경현,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,한화,KIA,,,
9, ,우안, ,삼진, , ,좌비,3,1,1,0,0.265,백재호,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,한화,KIA,,,
0,중안,좌비, ,중안, , ,三땅,4,2,0,1,0.305,이종범,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,KIA,한화,,,
1,우2,우비, ,유땅, , ,중비,4,1,0,1,0.269,이용규,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,KIA,한화,,,
2,一안, ,우비, ,우중안, ,유비,4,2,1,1,0.301,장성호,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,KIA,한화,,,
3,좌희비, ,우중2, ,二비, , ,2,1,1,0,0.260,심재학,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,KIA,한화,,,
4,좌안, ,三파, ,포파, , ,3,1,0,1,0.291,손지환,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,KIA,한화,,,
5,좌안, ,중비, ,三파, , ,3,1,0,0,0.284,김경언,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,KIA,한화,,,
6,우희비, , ,유실, ,삼진, ,2,0,1,0,0.235,김상훈,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,KIA,한화,,,
7,三땅, , ,사구, ,중안, ,2,1,0,0,0.219,김주형,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,KIA,한화,,,
8, ,삼진, ,三병, ,三二병, ,3,0,0,0,0.223,김종국,구장 : 무등,"관중 : 1,207",2005.09.01(목),개시 : 18:30,경기시간 : 2:16,KIA,한화,,,
0,중안, ,유비, , ,二비, ,4,1,0,0,0.256,신명철,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,롯데,삼성,좌비, ,
1,우비, ,삼진, , ,유안, ,3,1,0,0,0.289,정수근,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,롯데,삼성, , ,
2, , , , , , , ,0,0,0,0,0.180,박정준,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,롯데,삼성,4구, ,
3,一땅, ,중비, , ,一파, ,3,0,0,0,0.266,라이온,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,롯데,삼성, , ,
4, , , , , , , ,1,0,0,0,0.240,최준석,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,롯데,삼성,삼진, ,
5, , , , , , , ,0,0,0,0,0.174,박남섭,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,롯데,삼성, , ,
6, ,유땅, ,좌비, ,삼진, ,4,1,0,0,0.275,이대호,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,롯데,삼성, ,우3,
7, ,중비, ,유땅, , ,중홈,4,1,1,1,0.282,펠로우,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,롯데,삼성, ,포땅,
8, ,우중2, ,삼진, , ,삼진,4,1,0,0,0.277,박연수,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,롯데,삼성, ,유비,
9, ,4구, , ,삼진, ,삼진,3,0,0,0,0.216,이원석,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,롯데,삼성, ,삼진,
10, ,4구, , ,삼진, , ,1,0,0,0,0.200,최기문,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,롯데,삼성, , ,
11, , , , , , ,二땅,1,0,0,0,0.241,강민호,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,롯데,삼성, , ,
12, ,삼진, , ,우비, , ,2,0,0,0,0.278,박기혁,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,롯데,삼성, , ,
13, , , , , , , ,1,0,0,0,0.245,손인호,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,롯데,삼성,삼진, ,
0,사구,二땅, , ,중홈,삼진, ,4,1,2,2,0.267,조동찬,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데,三파, ,
1,포희번, ,투땅, ,중비,三안, ,4,1,0,0,0.261,김재걸,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데,二땅, ,
2,우비, ,투땅, ,좌홈,二안, ,4,2,2,1,0.290,김한수,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데, , ,
3, , , , , , , ,1,0,0,0,0.174,박석민,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데,三땅, ,
4,좌안, ,三땅, ,좌중2,三땅, ,4,2,1,0,0.271,심정수,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데, , ,
5, , , , , , , ,0,0,0,0,0.192,이정식,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데, , ,
6,중안, , ,중안,우비, , ,3,2,0,0,0.294,진갑용,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데, , ,
7, , , , , , ,중안,1,1,0,1,0.233,김대익,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데, , ,
8,우안, , ,一희번,중비, ,삼진,3,1,0,0,0.302,김종훈,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데, , ,
9, ,二땅, ,삼진, ,유안, ,3,1,0,0,0.259,박진만,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데, , ,
10, , , , , , ,우안,1,1,0,1,0.244,강동우,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데, , ,
11, ,4구, , , , , ,0,0,0,1,0.211,박정환,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데, , ,
12, , , ,삼진, ,우파,二땅,3,0,1,0,0.258,양준혁,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데, , ,
13, ,중안, , ,4구,우안, ,2,2,0,2,0.265,박종호,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데, , ,
14, , , , , , ,三파,1,0,0,0,0.238,강명구,구장 : 시민,"관중 : 2,668",2005.09.01(목),개시 : 18:30,경기시간 : 2:46,삼성,롯데, , ,
0,4구, ,우비, ,사구, ,三파,2,0,1,1,0.265,조동찬,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산,중희비, ,
1,삼진, ,二땅, ,三땅, , ,3,0,0,0,0.257,김재걸,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산, , ,
2, , , , , , ,좌안,1,1,1,1,0.301,박한이,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산, , ,
3, , , , , , , ,1,0,0,0,0.243,강동우,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산,삼진, ,
4,삼진, ,중비, ,유안, ,4구,3,1,0,0,0.290,김한수,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산, , ,
5, , , , , , , ,0,0,0,0,0.238,강명구,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산, , ,
6, , , , , , , ,0,0,0,0,0.174,박석민,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산, , ,
7, , , , , , , ,1,1,0,0,0.260,양준혁,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산, ,좌안,
8,좌중홈, , ,4구,二비, ,좌안,4,2,3,1,0.273,심정수,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산, ,유二병,
9,二땅, , ,투희번, ,三땅,유땅,4,1,0,0,0.293,진갑용,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산, ,중안,
10, ,二땅, ,중비, ,중안, ,3,1,0,0,0.303,김종훈,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산, , ,
11, , , , , , , ,2,1,0,1,0.242,김대익,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산,우안,유비,
12, ,二땅, ,4구, ,유二병, ,2,0,0,1,0.257,박진만,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산,투희선, ,
13, ,중안, ,삼진, , ,4구,3,2,0,1,0.273,박정환,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산,우안, ,
14, ,중비, , ,三땅, ,삼진,3,0,1,0,0.262,박종호,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,삼성,두산,우희비, ,
0,우안, ,三땅,우3, ,우비, ,4,2,2,1,0.264,최경환,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,두산,삼성, , ,
1, , , , , , , ,1,1,0,0,0.251,김창희,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,두산,삼성, ,중안,
2, , , , , , , ,0,0,0,0,0.000,정원석,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,두산,삼성, , ,
3,투희번, ,투실,三안, , ,우파,4,1,1,1,0.309,임재철,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,두산,삼성, ,삼진,
4,三땅, ,三땅,二비, , ,우비,5,0,0,0,0.294,안경현,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,두산,삼성, ,유二병,
5,三땅, ,좌중2, ,유땅, ,중안,4,2,1,0,0.314,김동주,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,두산,삼성, , ,
6, ,4구,二비, ,三땅, ,三땅,3,0,0,0,0.257,홍성흔,구장 : 잠실,"관중 : 8,603",2005.09.02(금),개시 : 18:30,경기시간 : 3:32,두산,삼성, , ,
