,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2
0,좌2, ,좌안, ,유비, , ,3직, ,4,2,0,1,0.284,이용규,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,KIA,삼성
1,포땅, ,포파, ,1땅, , ,유땅, ,4,0,0,0,0.185,김경진,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,KIA,삼성
2,좌희비, ,3파, , ,좌비, , , ,2,0,1,0,0.335,이현곤,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,KIA,삼성
3, , , , , , , , ,삼진,1,0,0,0,0.000,이강서,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,KIA,삼성
4,4구, ,4구, , ,삼진, , ,좌안,2,1,0,0,0.330,최희섭,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,KIA,삼성
5, , , , , , , , , ,0,0,0,0,0.000,이호신,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,KIA,삼성
6,우안, ,삼진, , ,좌비, , ,우비,4,1,0,0,0.253,이재주,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,KIA,삼성
7,삼진, , ,유땅, , ,삼진, , ,3,0,0,0,0.255,송산,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,KIA,삼성
8, , , , , , , , ,삼진,1,0,0,0,0.118,차일목,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,KIA,삼성
9, ,투땅, ,중비, , ,3직, , ,3,0,0,0,0.213,손지환,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,KIA,삼성
10, ,삼진, ,2땅, , ,우비, , ,3,0,0,0,0.137,김연훈,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,KIA,삼성
11, ,3땅, , ,삼진, , ,유땅, ,3,0,0,0,0.243,김원섭,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,KIA,삼성
0,2직, ,우비, , ,2땅,중안, , ,4,1,1,0,0.249,신명철,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,삼성,KIA
1,2땅, , , , , , , , ,1,0,0,0,0.238,박정환,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,삼성,KIA
2, , ,유땅, , ,중2,삼진, , ,3,1,0,0,0.237,김재걸,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,삼성,KIA
3,좌비, , ,1땅, ,중비,유실, , ,4,0,0,0,0.333,양준혁,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,삼성,KIA
4, , , , , , , , , ,0,0,0,0,0.215,김종훈,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,삼성,KIA
5, ,유비, ,유땅, ,우비,4구, , ,3,0,1,0,0.254,심정수,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,삼성,KIA
6, ,중안, ,좌안, , ,중안/ 1파, , ,4,3,0,1,0.311,박진만,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,삼성,KIA
7, ,좌비, ,삼진, , ,좌안,삼진, ,4,1,0,1,0.240,김한수,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,삼성,KIA
8, ,우안, , ,우안, ,투희선,삼진, ,3,2,0,1,0.270,박한이,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,삼성,KIA
9, ,삼진, , ,2유병, , , , ,2,0,0,0,0.248,진갑용,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,삼성,KIA
10, , , , , , ,삼진, , ,1,0,0,0,0.175,김대익,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,삼성,KIA
11, , , , , , , ,유땅, ,1,0,0,0,0.157,이정식,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,삼성,KIA
12, , ,2땅, ,좌비, ,중안, , ,3,1,1,1,0.253,김창희,구장 : 시민,"관중 : 1,572",2007.10.01(월),개시 : 17:59,경기시간 : 2:43,삼성,KIA
0,좌파, , ,2땅, ,우중안,유비, , ,4,1,0,0,0.257,고동진,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,한화,LG
1,유땅, , ,중안, ,4구, ,우비, ,3,1,0,0,0.273,김민재,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,한화,LG
2,삼진, , ,2병, ,2병, ,1땅, ,4,0,0,0,0.319,크루즈,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,한화,LG
3, ,우비, , ,3실,3땅, ,좌안, ,4,1,0,0,0.248,이범호,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,한화,LG
4, ,유비, , ,1병, ,2땅, , ,3,0,0,0,0.242,연경흠,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,한화,LG
5, , , , , , , ,유땅, ,1,0,0,0,0.190,이도형,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,한화,LG
6, ,1땅, , ,우홈, ,중비, ,삼진,4,1,1,1,0.179,정희상,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,한화,LG
7, , ,좌비, ,4구, ,중안, ,유땅,3,1,0,1,0.219,백재호,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,한화,LG
8, , ,4구, ,중안, ,4구, ,우비,2,1,0,1,0.250,신경현,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,한화,LG
9, , ,2직, ,삼진, , , , ,2,0,0,0,0.171,김수연,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,한화,LG
10, , , , , , ,우3, , ,1,1,2,0,0.243,이영우,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,한화,LG
11, , , , , , , , , ,0,0,0,0,0.259,조원우,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,한화,LG
0,삼진, ,삼진, ,2땅, ,유비, , ,4,0,0,0,0.239,박경수,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
1,1땅, ,삼진, , , , , , ,2,0,0,0,0.286,이종열,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
2, , , , , ,삼진, ,1안, ,2,1,0,1,0.254,이성열,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
3,투땅, , ,유비, ,삼진, ,3땅, ,4,0,0,0,0.273,박용택,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
4, ,삼진, ,중비, ,2땅, ,유안, ,4,1,0,0,0.302,최동수,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
5, , , , , , , , , ,0,0,0,0,0.269,오태근,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
6, , , , , , , , , ,0,0,0,0,0.313,김용우,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
7, ,삼진, ,좌안, , ,좌안, , ,3,2,0,0,0.278,정의윤,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
8, , , , , , , , , ,0,0,0,0,0.161,박용근,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
9, , , , , , , , , ,0,0,0,0,0.212,손인호,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
10, , , , , , , ,우안, ,1,1,1,0,0.154,안치용,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
11, ,3땅, ,유땅, , ,4구,유병, ,3,0,0,0,0.283,조인성,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
12, , ,삼진, ,유땅, ,삼진, ,삼진,4,0,0,0,0.233,김상현,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
13, , ,3안, ,유땅, ,4구, ,유파,3,1,0,1,0.304,이대형,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
14, , ,우안, ,중안, ,4구, ,삼진,3,2,1,0,0.238,권용관,구장 : 잠실,"관중 : 9,727",2007.10.01(월),개시 : 18:31,경기시간 : 3:02,LG,한화
0,2비,좌안,우중3, ,2땅, ,삼진, , ,5,2,2,1,0.315,이종욱,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
1, , , , , , , , , ,0,0,0,0,0.193,전상렬,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
2,우2,중홈,삼진, ,2땅, , ,유직, ,5,2,2,2,0.277,김현수,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
3, , , , , , , , , ,0,0,0,0,0.274,안경현,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
4,중비,삼진,투땅, , , , , , ,3,0,0,0,0.268,고영민,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
5, , , , , ,사구, , , ,0,0,0,0,0.250,정원석,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
6, , , , , , , ,우비, ,1,0,0,0,0.167,장원진,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
7, , , , , , , , , ,0,0,0,0,0.278,오재원,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
8,사구,중안,중비, , ,삼진, ,3땅, ,4,1,0,2,0.323,김동주,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
9, , , , , , , , , ,0,0,0,0,0.040,윤석민,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
10,중안,중홈, ,삼진, ,삼진, , , ,4,2,3,2,0.245,최준석,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
11, , , , , , , , ,삼진,1,0,0,0,0.263,윤재국,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
12,중안,투땅, ,3땅, ,유비, , ,삼진,5,1,1,0,0.265,홍성흔,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
13,4구,삼진, ,3실, , ,중땅, ,삼진,4,0,0,0,0.252,이대수,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
14,4구, ,사구,2비, , ,2땅, , ,2,0,1,1,0.234,채상병,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
15, , , , , , , , , ,0,0,0,0,0.500,임태훈,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
16, , , , , , , , , ,0,0,0,0,0.000,이경필,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
17,삼진, ,좌중안, ,우비, ,우2, , ,4,2,0,1,0.245,민병헌,구장 : 사직,"관중 : 1,873",2007.10.01(월),개시 : 18:30,경기시간 : 2:58,두산,롯데
