,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12,13,14
0,3땅, ,유땅, , ,중안,중비, ,투땅,5,1,0,1,0.295,이대형,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,LG,한화,,,,,,
1,우비, ,투땅, , ,투희번, ,좌안,유비,4,1,0,1,0.267,박경수,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,LG,한화,,,,,,
2,삼진, ,중비, , ,좌희비, ,중홈,좌홈,4,2,4,2,0.380,안치용,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,LG,한화,,,,,,
3, ,투안, ,유땅, ,1땅, ,2땅,좌안,5,2,0,0,0.354,페타지니,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,LG,한화,,,,,,
4, , , , , , , , , ,0,0,0,1,0.282,김준호,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,LG,한화,,,,,,
5, , , , , , , , , ,0,0,0,0,0.000,정재복,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,LG,한화,,,,,,
6, , , , , , , , , ,0,0,0,0,0.000,김수형,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,LG,한화,,,,,,
7, ,유병, ,우비, , ,좌안,2비,중홈,5,2,2,2,0.288,최동수,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,LG,한화,,,,,,
8, ,좌안, ,2땅, , ,투희번,좌2,우안,4,3,0,1,0.289,손인호,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,LG,한화,,,,,,
9, ,우안, , ,3땅, ,4구,좌2,삼진,4,2,1,0,0.213,박용근,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,LG,한화,,,,,,
10, ,4구, , ,2땅, ,우안,사구, ,2,1,1,0,0.311,김정민,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,LG,한화,,,,,,
11, ,2직, , ,2땅, , , , ,2,0,0,0,0.191,김상현,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,LG,한화,,,,,,
12, , , , , , ,투땅, , ,1,0,0,0,0.194,이성열,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,LG,한화,,,,,,
13, , , , , , , ,좌안, ,1,1,0,0,0.261,채종국,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,LG,한화,,,,,,
0,중비, ,2땅, ,삼진, , , , ,3,0,0,0,0.314,이영우,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,한화,LG,,,,,,
1, , , , , , ,2땅, ,중비,2,0,0,0,0.184,윤재국,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,한화,LG,,,,,,
2,2땅, ,유땅, ,좌비, , ,중비, ,4,0,0,0,0.283,추승우,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,한화,LG,,,,,,
3,중안, ,삼진, ,중비, , ,좌안, ,4,2,0,2,0.314,클락,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,한화,LG,,,,,,
4,2중안, , ,4구, ,2직, ,좌2, ,3,2,1,0,0.336,김태균,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,한화,LG,,,,,,
5,4구, , ,좌안, ,유땅, ,2땅, ,3,1,1,0,0.275,이범호,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,한화,LG,,,,,,
6,우비, , ,좌비, ,유땅, ,중비, ,4,0,0,0,0.263,김태완,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,한화,LG,,,,,,
7, ,우비, ,우파, , ,좌중안, , ,3,1,0,0,0.245,김민재,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,한화,LG,,,,,,
8, , , , , , , , ,포파,1,0,0,0,0.154,오선진,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,한화,LG,,,,,,
9, ,삼진, ,1직, , ,포희번, , ,2,0,0,0,0.169,한상훈,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,한화,LG,,,,,,
10, , , , , , , , ,2땅,1,0,0,0,0.348,송광민,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,한화,LG,,,,,,
11, ,유땅, , ,중안, , , , ,2,1,0,0,0.165,이희근,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,한화,LG,,,,,,
12, , , , , , ,삼진, , ,1,0,0,0,0.205,이도형,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,한화,LG,,,,,,
13, , , , , , , , ,4구,0,0,0,0,0.250,정범모,구장 : 청주,"관중 : 7,500",2008.06.01(일),개시 : 14:00,경기시간 : 3:33,한화,LG,,,,,,
0,중비,투땅, ,4구, ,3땅, ,투땅, ,4,0,0,1,0.311,정수근,구장 : 목동,"관중 : 11,252",2008.06.01(일),개시 : 17:02,경기시간 : 3:00,롯데,우리,,,,,,
1, , , , , , , , , ,0,0,0,0,0.177,이승화,구장 : 목동,"관중 : 11,252",2008.06.01(일),개시 : 17:02,경기시간 : 3:00,롯데,우리,,,,,,
2,4구,우중2, ,중안, ,유땅, ,중비, ,4,2,4,2,0.278,김주찬,구장 : 목동,"관중 : 11,252",2008.06.01(일),개시 : 17:02,경기시간 : 3:00,롯데,우리,,,,,,
3,중안,중안, ,중비, ,중비, , ,중2,5,3,2,1,0.347,조성환,구장 : 목동,"관중 : 11,252",2008.06.01(일),개시 : 17:02,경기시간 : 3:00,롯데,우리,,,,,,
4,4구,2땅, ,유땅, , ,유땅, ,사구,3,0,0,0,0.335,이대호,구장 : 목동,"관중 : 11,252",2008.06.01(일),개시 : 17:02,경기시간 : 3:00,롯데,우리,,,,,,
5, , , , , , , , , ,0,0,0,0,0.273,손광민,구장 : 목동,"관중 : 11,252",2008.06.01(일),개시 : 17:02,경기시간 : 3:00,롯데,우리,,,,,,
6,3병, ,중안, ,중안, ,우비, ,삼진,5,2,0,1,0.337,강민호,구장 : 목동,"관중 : 11,252",2008.06.01(일),개시 : 17:02,경기시간 : 3:00,롯데,우리,,,,,,
