,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9
0,삼진, ,우2, ,투희번,2땅, , ,우홈,4,2,1,2,0.364,이용규,구장 : 잠실,"관중 : 23,990",2011.06.01(수),개시 : 18:30,경기시간 : 2:53,KIA,LG,
1,투땅, ,우중안, ,우안, ,중안, , ,4,3,3,1,0.321,김선빈,구장 : 잠실,"관중 : 23,990",2011.06.01(수),개시 : 18:30,경기시간 : 2:53,KIA,LG,
2, , , , , , , , ,유땅,1,0,0,0,0.250,이현곤,구장 : 잠실,"관중 : 23,990",2011.06.01(수),개시 : 18:30,경기시간 : 2:53,KIA,LG,
3,2땅, ,우비, ,4구, ,우비, ,중비,4,0,0,0,0.307,이범호,구장 : 잠실,"관중 : 23,990",2011.06.01(수),개시 : 18:30,경기시간 : 2:53,KIA,LG,
4, ,투비, ,우2,우안, ,2땅, ,1땅,5,2,1,0,0.309,최희섭,구장 : 잠실,"관중 : 23,990",2011.06.01(수),개시 : 18:30,경기시간 : 2:53,KIA,LG,
5, ,삼진, ,삼진,2유병, ,유비, , ,4,0,0,0,0.205,김상현,구장 : 잠실,"관중 : 23,990",2011.06.01(수),개시 : 18:30,경기시간 : 2:53,KIA,LG,
6, ,유직, ,유안, ,중안, ,삼진, ,4,2,0,1,0.289,안치홍,구장 : 잠실,"관중 : 23,990",2011.06.01(수),개시 : 18:30,경기시간 : 2:53,KIA,LG,
7, , ,3땅,포번, ,포희번, , , ,2,0,0,0,0.129,박기남,구장 : 잠실,"관중 : 23,990",2011.06.01(수),개시 : 18:30,경기시간 : 2:53,KIA,LG,
8, , , , , , , ,중비, ,1,0,0,0,0.241,신종길,구장 : 잠실,"관중 : 23,990",2011.06.01(수),개시 : 18:30,경기시간 : 2:53,KIA,LG,
9, , ,유땅,우비, ,중비, ,좌중안, ,4,1,0,0,0.235,김상훈,구장 : 잠실,"관중 : 23,990",2011.06.01(수),개시 : 18:30,경기시간 : 2:53,KIA,LG,
