,0,1,2,3,4,5,6,7,8,9,10,11,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2
0,좌중안, ,삼진, ,3땅,4구, , ,4구, ,2직, ,4,1,0,0,0.315,황재균,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
1, , , , , , , , , , , , ,0,0,0,0,0.234,신본기,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
2,중비, ,유땅, ,우안,중안, , ,1희번, ,스낫, ,5,2,1,1,0.294,정훈,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
3,4구, ,4구, ,좌2,중비, , ,삼진, ,고4, ,3,1,0,0,0.357,손아섭,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
4,삼진, ,중안, ,4구, ,유비, ,4구, , , ,3,1,0,0,0.292,최준석,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
5, , , , , , , , , , ,2비, ,1,0,0,0,0.268,오승택,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
6,1땅, ,유땅, ,좌희비, ,삼진, ,좌비, , ,2땅,5,0,1,0,0.299,박종윤,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
7, ,좌비, ,3땅,삼진, ,삼진, , ,삼진, ,2땅,6,0,0,0,0.279,전준우,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
8, ,좌홈, ,삼진, ,좌안, ,좌비, ,중비, ,4구,5,2,1,2,0.234,강민호,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
9, , , , , , , , , , , , ,0,0,0,0,0.278,김대우,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
10, , , , , , , , , , , , ,0,0,0,0,0.311,용덕한,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
11, ,2땅, ,4구, ,투희번, ,유땅, ,삼진, ,삼진,4,0,0,0,0.289,문규현,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
12, ,삼진, ,삼진, , , , , , , , ,2,0,0,0,0.224,김민하,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
13, , , , , ,4구, , , , , , ,0,0,0,0,0.319,히메네스,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
14, , , , , , , ,유땅, , , , ,1,0,0,0,0.215,김문호,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
15, , , , , , , , , , ,삼진, ,1,0,0,0,0.271,장성우,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
16, , , , , , , , , , , , ,0,0,0,0,0.233,하준호,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,롯데,삼성
0,중안,4구, ,좌비, , ,2땅, , ,4구, ,2비,4,1,0,2,0.311,나바로,구장 : 대구,"관중 : 3,943",2014.10.01(수),개시 : 18:30,경기시간 : 4:45,삼성,롯데
