,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,유파, ,2땅, , ,우3, ,2땅, ,4,1,0,1,0.357,서건창,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,넥센,LG,,,
1,4구, ,삼진, , ,중안, , , ,2,1,1,1,0.299,문우람,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,넥센,LG,,,
2, , , , , , , , ,4구,0,0,0,0,0.306,이택근,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,넥센,LG,,,
3, , , , , , , , , ,0,0,0,0,0.000,유재신,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,넥센,LG,,,
4,좌2, ,삼진, , ,3땅, , ,유땅,4,1,0,1,0.316,유한준,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,넥센,LG,,,
5,좌중안, , ,삼진, ,유2병, , ,투땅,4,1,2,0,0.300,박병호,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,넥센,LG,,,
6,포파, , ,3땅, , ,삼진, , ,3,0,0,0,0.341,강정호,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,넥센,LG,,,
7,1비, , ,중비, , ,우비, , ,3,0,0,0,0.300,김민성,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,넥센,LG,,,
8, ,좌비, , ,3안, ,우비, , ,3,1,0,0,0.236,이성열,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,넥센,LG,,,
9, ,좌비, , ,32병, , ,삼진, ,3,0,0,0,0.320,로티노,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,넥센,LG,,,
10, ,유땅, , ,2땅, , ,좌비, ,3,0,0,0,0.230,박동원,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,넥센,LG,,,
0,좌홈,2유병, , ,중비, ,좌홈, , ,4,2,3,2,0.315,정성훈,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,LG,넥센,,,
1,2땅, ,사구, , , , , , ,1,0,0,0,0.253,오지환,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,LG,넥센,,,
2, , , , ,좌안, ,좌안, , ,2,2,0,0,0.500,황목치승,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,LG,넥센,,,
3,우비, ,우비, , ,1땅,삼진, , ,4,0,0,0,0.335,박용택,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,LG,넥센,,,
4,중비, ,삼진, , ,2비, ,1땅, ,4,0,0,0,0.331,이병규,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,LG,넥센,,,
5, ,유안,유땅, , ,4구, ,삼진, ,3,1,0,1,0.277,정의윤,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,LG,넥센,,,
6, ,4구, ,4구, ,우안, ,우비, ,2,1,0,0,0.328,채은성,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,LG,넥센,,,
7, , , , , , , , , ,0,0,0,0,0.342,이진영,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,LG,넥센,,,
8, ,투희실, ,삼진, ,삼진, , , ,2,0,0,0,0.311,손주인,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,LG,넥센,,,
9, ,삼진, ,중비, , ,좌중안, , ,3,1,0,1,0.223,최경철,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,LG,넥센,,,
10, ,4구, , ,유안, ,삼진, , ,2,1,0,0,0.173,박경수,구장 : 잠실,"관중 : 18,027",2014.08.01(금),개시 : 18:30,경기시간 : 3:00,LG,넥센,,,
0,좌비, ,삼진, ,4구, ,삼진, ,중안,4,1,0,2,0.329,박민우,구장 : 문학,"관중 : 10,860",2014.08.01(금),개시 : 18:31,경기시간 : 3:27,NC,SK,,,
1,중안, ,우안, ,우중2, ,삼진, ,좌비,5,3,0,1,0.266,김종호,구장 : 문학,"관중 : 10,860",2014.08.01(금),개시 : 18:31,경기시간 : 3:27,NC,SK,,,
2,중비, ,4구, ,중희비, , , , ,1,0,1,0,0.295,이종욱,구장 : 문학,"관중 : 10,860",2014.08.01(금),개시 : 18:31,경기시간 : 3:27,NC,SK,,,
3, , , , , , ,좌안, ,삼진,2,1,0,1,0.279,권희동,구장 : 문학,"관중 : 10,860",2014.08.01(금),개시 : 18:31,경기시간 : 3:27,NC,SK,,,
4, ,중비,우안, ,4구, , , , ,2,1,2,0,0.339,테임즈,구장 : 문학,"관중 : 10,860",2014.08.01(금),개시 : 18:31,경기시간 : 3:27,NC,SK,,,
