,0,1,2,3,4,5,6,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,7,8,9,10,11
0,좌2, ,중안, ,4구,좌안, ,3,3,0,1,0.308,정근우,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
1,삼진, ,좌안, ,중안,좌안, ,4,3,2,0,0.329,송광민,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
2,3파, ,2땅, ,2병,4구, ,3,0,0,0,0.324,김경언,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
3,중비, , ,우중홈, ,우안/ 삼진, ,4,2,1,2,0.370,김태균,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
4, ,2땅, ,우2, ,4구,우중홈,3,2,1,2,0.340,피에,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
5, ,유땅, ,유비, ,우비,우비,4,0,0,0,0.294,김태완,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
6, ,투땅, ,유땅, ,우안,유땅,4,1,2,1,0.272,최진행,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
7, , , , , , , ,0,0,0,0,0.235,장운호,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
8, , ,삼진,포파, ,좌2,중비,4,1,1,1,0.239,조인성,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
9, , ,삼진, , , , ,1,0,0,0,0.260,강경학,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
10, , , , ,1땅,4구, ,1,0,0,0,0.281,한상훈,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
11, , , , , , , ,0,0,0,0,0.309,이학준,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,한화,SK,,,,,
0,좌2, ,우비, ,좌안,3땅, ,4,2,0,1,0.347,이명기,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
1,삼진, ,우비, ,유병, ,좌비,4,0,0,0,0.296,김성현,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
2,좌비, , ,유땅,좌비, ,삼진,4,0,0,0,0.316,최정,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
3,중홈, , ,우2, ,1땅,삼진,4,2,2,2,0.292,박정권,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
4,2비, , ,4구, ,4구, ,1,0,0,1,0.360,이재원,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
5, , , , , , , ,0,0,0,1,0.330,박계현,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
6, , , , , , , ,0,0,0,0,0.242,정상호,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
7, ,중비, ,4구, ,좌안, ,2,1,0,1,0.300,김강민,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
8, ,삼진, ,우중홈, ,2실, ,3,1,4,1,0.264,한동민,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
9, , , , , , , ,0,0,0,0,0.252,조동화,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
10, ,중비, ,중비, ,우비, ,3,0,0,0,0.315,임훈,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
11, , ,3땅,좌비, ,2실, ,3,0,0,0,0.269,나주환,구장 : 문학,"관중 : 4,401",2014.09.02(화),개시 : 18:39,경기시간 : 3:06,SK,한화,,,,,
