연도,순,팀,G,승,패,무,승차,승률
1991,1,해태,126,79,42,5,-,0.647
1991,2,빙그레,126,72,49,5,7,0.591
1991,3,삼성,126,70,55,1,11,0.56
1991,4,롯데,126,61,62,3,19,0.496
1991,5,태평양,126,55,69,2,25.5,0.444
1991,6,LG,126,53,72,1,28,0.425
1991,7,쌍방울,126,52,71,3,28,0.425
1991,8,OB,126,51,73,2,29.5,0.413
1992,1,빙그레,126,81,43,2,-,0.651
1992,2,해태,126,71,54,1,10.5,0.567
1992,3,롯데,126,71,55,0,11,0.563
1992,4,삼성,126,67,57,2,14,0.54
1992,5,OB,126,56,66,4,24,0.46
1992,6,태평양,126,56,67,3,24.5,0.456
1992,7,LG,126,53,70,3,27.5,0.433
1992,8,쌍방울,126,41,84,1,40.5,0.329
1993,1,해태,126,81,42,3,-,0.655
1993,2,삼성,126,73,48,5,7,0.599
1993,3,OB,126,66,55,5,14,0.544
1993,4,LG,126,66,57,3,15,0.536
1993,5,빙그레,126,61,61,4,19.5,0.5
1993,6,롯데,126,62,63,1,20,0.496
1993,7,쌍방울,126,43,78,5,37,0.361
1993,8,태평양,126,34,82,10,43.5,0.31
1994,1,LG,126,81,45,0,-,0.643
1994,2,태평양,126,68,55,3,11.5,0.552
1994,3,한화,126,65,59,2,15,0.524
1994,4,해태,126,65,59,2,15,0.524
1994,5,삼성,126,60,64,2,20,0.484
1994,6,롯데,126,56,67,3,23.5,0.456
1994,7,OB,126,53,72,1,27.5,0.425
1994,8,쌍방울,126,47,74,5,31.5,0.393
1995,1,OB,126,74,47,5,-,0.607
1995,2,LG,126,74,48,4,0.5,0.603
1995,3,롯데,126,68,53,5,6,0.56
1995,4,해태,126,64,58,4,10.5,0.524
1995,5,삼성,126,60,60,6,13.5,0.5
1995,6,한화,126,55,71,0,21.5,0.437
1995,7,태평양,126,48,73,5,26,0.401
1995,8,쌍방울,126,45,78,3,30,0.369
1996,1,해태,126,73,51,2,-,0.587
1996,2,쌍방울,126,70,54,2,3,0.563
1996,3,한화,126,70,55,1,3.5,0.56
1996,4,현대,126,67,54,5,4.5,0.552
1996,5,롯데,126,57,63,6,14,0.476
1996,6,삼성,126,54,67,5,17.5,0.448
1996,7,LG,126,50,71,5,21.5,0.417
1996,8,OB,126,47,73,6,24,0.397
1997,1,해태,126,75,50,1,-,0.599
1997,2,LG,126,73,51,2,1.5,0.587
1997,3,쌍방울,126,71,53,2,3.5,0.571
1997,4,삼성,126,66,53,7,6,0.552
1997,5,OB,126,57,64,5,16,0.472
1997,6,현대,126,51,71,4,22.5,0.421
1997,7,한화,126,51,73,2,23.5,0.413
1997,8,롯데,126,48,77,1,27,0.385
1998,1,현대,126,81,45,0,-,0.643
1998,2,삼성,126,66,58,2,14,0.532
1998,3,LG,126,63,62,1,17.5,0.504
1998,4,OB,126,61,62,3,18.5,0.496
1998,5,해태,126,61,64,1,19.5,0.488
1998,6,쌍방울,126,58,66,2,22,0.468
1998,7,한화,126,55,66,5,23.5,0.455
1998,8,롯데,126,50,72,4,29,0.41
1999,1,두산,132,76,51,5,-,0.598
1999,2,롯데,132,75,52,5,1,0.591
1999,3,현대,132,68,59,5,8,0.535
1999,4,해태,132,60,69,3,17,0.465
1999,1,삼성,132,73,57,2,-,0.562
1999,2,한화,132,72,58,2,1,0.554
1999,3,LG,132,61,70,1,12.5,0.466
1999,4,쌍방울,132,28,97,7,42.5,0.224
2000,1,현대,133,91,40,2,-,0.695
2000,2,두산,133,76,57,0,16,0.571
2000,3,삼성,133,69,59,5,20.5,0.539
2000,4,해태,133,57,72,4,33,0.442
2000,1,LG,133,67,63,3,-,0.515
2000,2,롯데,133,65,64,4,1.5,0.504
2000,3,한화,133,50,78,5,16,0.391
2000,4,SK,133,44,86,3,23,0.338
2001,1,삼성,133,81,52,0,-,0.609
2001,2,현대,133,72,57,4,7,0.558
2001,3,두산,133,65,63,5,13.5,0.508
2001,4,한화,133,61,68,4,18,0.473
2001,5,KIA,133,60,68,5,18.5,0.469
2001,6,LG,133,58,67,8,19,0.464
2001,7,SK,133,60,71,2,20,0.458
2001,8,롯데,133,59,70,4,20,0.457
2002,1,삼성,133,82,47,4,-,0.636
2002,2,KIA,133,78,51,4,4,0.605
2002,3,현대,133,70,58,5,11.5,0.547
2002,4,LG,133,66,61,6,15,0.52
2002,5,두산,133,66,65,2,17,0.504
2002,6,SK,133,61,69,3,21.5,0.469
2002,7,한화,133,59,69,5,22.5,0.461
2002,8,롯데,133,35,97,1,48.5,0.265
2003,1,현대,133,80,51,2,-,0.611
2003,2,KIA,133,78,50,5,0.5,0.609
2003,3,삼성,133,76,53,4,3,0.589
2003,4,SK,133,66,64,3,13.5,0.508
2003,5,한화,133,63,65,5,15.5,0.492
2003,6,LG,133,60,71,2,20,0.458
2003,7,두산,133,57,74,2,23,0.435
2003,8,롯데,133,39,91,3,40.5,0.3
2004,1,현대,133,75,53,5,-,0.586
2004,2,삼성,133,73,52,8,0.5,0.584
2004,3,두산,133,70,62,1,7,0.53
2004,4,KIA,133,67,61,5,8,0.523
2004,5,SK,133,61,64,8,12.5,0.488
2004,6,LG,133,59,70,4,16.5,0.457
2004,7,한화,133,53,74,6,21.5,0.417
2004,8,롯데,133,50,72,11,22,0.41
2005,1,삼성,126,74,48,4,-,0.606
2005,2,두산,126,72,51,3,2.5,0.585
2005,3,SK,126,70,50,6,3,0.583
2005,4,한화,126,64,61,1,11.5,0.512
2005,5,롯데,126,58,67,1,17.5,0.463
2005,6,LG,126,54,71,1,21.5,0.432
2005,7,현대,126,53,70,3,21.5,0.43
2005,8,KIA,126,49,76,1,26.5,0.391
