지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),지면온도(°C)
108,서울,2001-04-01 01:00,3.1,,2.8,270,55,
108,서울,2001-04-01 02:00,3,,3.2,270,56,
108,서울,2001-04-01 03:00,2.6,,1.3,270,58,.3
108,서울,2001-04-01 04:00,2.5,,1.2,270,60,
108,서울,2001-04-01 05:00,2.8,,1.8,250,68,
108,서울,2001-04-01 06:00,2.7,,2,200,76,
108,서울,2001-04-01 07:00,2.7,,1.8,230,78,
108,서울,2001-04-01 08:00,3.5,,1.8,200,76,
108,서울,2001-04-01 09:00,4.6,,1,50,73,6.2
108,서울,2001-04-01 10:00,6.1,,1.6,180,63,
108,서울,2001-04-01 11:00,8.7,,3.6,180,53,
108,서울,2001-04-01 12:00,9.7,,3.9,230,46,
108,서울,2001-04-01 13:00,9.9,,5.2,230,41,
108,서울,2001-04-01 14:00,11.7,,6.6,200,37,
108,서울,2001-04-01 15:00,10.9,,6.3,230,41,18.7
108,서울,2001-04-01 16:00,10.1,,6.7,230,48,
108,서울,2001-04-01 17:00,9.8,,5.2,230,48,
108,서울,2001-04-01 18:00,9,,5.7,230,62,
108,서울,2001-04-01 19:00,7.4,,6,230,59,
108,서울,2001-04-01 20:00,7.2,,4.9,230,60,
108,서울,2001-04-01 21:00,7.5,,5.6,250,66,5.9
108,서울,2001-04-01 22:00,6.9,,4.3,200,60,
108,서울,2001-04-01 23:00,6.5,,4.7,230,62,
108,서울,2001-04-02 00:00,6.4,,3,230,66,
108,서울,2001-04-02 01:00,6.1,,2,230,65,
108,서울,2001-04-02 02:00,5.3,,2.2,160,67,
108,서울,2001-04-02 03:00,5.6,,3.2,200,65,2.6
108,서울,2001-04-02 04:00,5.5,,3.4,230,67,
108,서울,2001-04-02 05:00,5.2,,3.6,200,69,
108,서울,2001-04-02 06:00,5.2,,4.2,200,74,
108,서울,2001-04-02 07:00,5.5,,4.9,200,75,
108,서울,2001-04-02 08:00,6,,3.9,230,75,
108,서울,2001-04-02 09:00,6.7,,4.9,230,74,7.1
108,서울,2001-04-02 10:00,7.2,,3.4,230,74,
108,서울,2001-04-02 11:00,7.7,0,4.3,230,75,
108,서울,2001-04-02 12:00,8.3,0,4.6,230,76,
108,서울,2001-04-02 13:00,8.6,0,6.2,230,77,
108,서울,2001-04-02 14:00,8.7,0,7.5,230,78,
108,서울,2001-04-02 15:00,8.5,,5.2,250,80,8.1
108,서울,2001-04-02 16:00,8.7,,4,250,81,
108,서울,2001-04-02 17:00,7.7,0,4.2,250,89,
108,서울,2001-04-02 18:00,7.7,0,4.8,230,85,
108,서울,2001-04-02 19:00,7.7,,2.6,250,88,
108,서울,2001-04-02 20:00,7.8,,2.3,270,86,
108,서울,2001-04-02 21:00,7.6,,1.8,290,81,6.9
108,서울,2001-04-02 22:00,7.2,,1.6,270,85,
108,서울,2001-04-02 23:00,6.8,,.5,270,86,
108,서울,2001-04-03 00:00,6.1,,1.9,270,88,
108,서울,2001-04-03 01:00,6,,.7,320,86,
108,서울,2001-04-03 02:00,5.3,,.8,270,87,
108,서울,2001-04-03 03:00,4.7,,.2,0,86,.7
108,서울,2001-04-03 04:00,4,,1.1,270,87,
108,서울,2001-04-03 05:00,2.9,,1.2,270,90,
