지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
98,동두천,2015-03-28 11:00,12.5,,2.5,320,25
98,동두천,2015-03-28 12:00,15,,1.9,270,20
98,동두천,2015-03-28 13:00,15.7,,3.7,270,18
98,동두천,2015-03-28 14:00,16.7,,3.1,250,17
98,동두천,2015-03-28 15:00,16.5,,3.8,200,23
98,동두천,2015-03-28 16:00,16.3,,4.6,270,27
98,동두천,2015-03-28 17:00,14,,4.5,270,31
98,동두천,2015-03-28 18:00,13.6,,3.6,270,35
98,동두천,2015-03-28 19:00,11.8,,3.2,270,31
98,동두천,2015-03-28 20:00,10.7,,3.3,270,23
98,동두천,2015-03-28 21:00,9.6,,1.9,230,26
98,동두천,2015-03-28 22:00,9.1,,1.7,200,28
98,동두천,2015-03-28 23:00,8.1,,1.7,270,33
98,동두천,2015-03-29 00:00,7.8,,1.1,20,33
98,동두천,2015-03-29 01:00,7.5,,.6,270,33
98,동두천,2015-03-29 02:00,7.2,,.2,0,38
98,동두천,2015-03-29 03:00,6.9,,1.1,90,38
98,동두천,2015-03-29 04:00,7,,1.3,200,41
98,동두천,2015-03-29 05:00,6.9,,1.1,360,42
98,동두천,2015-03-29 06:00,7.5,,1,140,41
98,동두천,2015-03-29 07:00,7.6,,.3,0,44
98,동두천,2015-03-29 08:00,8.4,,1.5,270,49
98,동두천,2015-03-29 09:00,9.4,,1.9,250,55
98,동두천,2015-03-29 10:00,9.9,,1.4,250,58
98,동두천,2015-03-29 11:00,11,,1.2,340,55
98,동두천,2015-03-29 12:00,13.1,,1.6,340,49
98,동두천,2015-03-29 13:00,15.1,,3.5,340,43
98,동두천,2015-03-29 14:00,15.1,,3.4,290,43
98,동두천,2015-03-29 15:00,15.5,,2.4,340,41
98,동두천,2015-03-29 16:00,17,,1.3,290,38
98,동두천,2015-03-29 17:00,17.6,,2.1,270,38
98,동두천,2015-03-29 18:00,15.8,,2.7,320,42
98,동두천,2015-03-29 19:00,13.6,,1,290,48
98,동두천,2015-03-29 20:00,12.5,,2,250,56
98,동두천,2015-03-29 21:00,10.5,,1.8,200,69
98,동두천,2015-03-29 22:00,9.6,,.6,200,74
98,동두천,2015-03-29 23:00,8.2,,1,50,78
98,동두천,2015-03-30 00:00,7.2,,1.3,20,81
98,동두천,2015-03-30 01:00,6.4,,1,360,85
98,동두천,2015-03-30 02:00,5.6,,1,50,87
98,동두천,2015-03-30 03:00,5.1,,1,20,89
98,동두천,2015-03-30 04:00,4.4,,.9,50,92
98,동두천,2015-03-30 05:00,3.7,,1.2,20,93
98,동두천,2015-03-30 06:00,3.5,,.8,50,94
98,동두천,2015-03-30 07:00,3.2,,.5,70,95
98,동두천,2015-03-30 08:00,5.2,,.5,340,89
98,동두천,2015-03-30 09:00,7.8,,.8,270,77
98,동두천,2015-03-30 10:00,11.4,,.9,270,66
98,동두천,2015-03-30 11:00,15.2,,1.9,270,46
98,동두천,2015-03-30 12:00,18.1,,1.9,250,40
98,동두천,2015-03-30 13:00,21.4,,2.7,230,27
98,동두천,2015-03-30 14:00,21.4,,3.7,250,25
98,동두천,2015-03-30 15:00,21.2,,4.6,230,24
98,동두천,2015-03-30 16:00,20.9,,5.5,270,22
98,동두천,2015-03-30 17:00,19.4,,5.5,270,26
98,동두천,2015-03-30 18:00,18.2,,4.1,250,25
98,동두천,2015-03-30 19:00,16,,3,270,30
98,동두천,2015-03-30 20:00,14.8,,1.7,250,35
98,동두천,2015-03-30 21:00,12.9,,.7,180,41
98,동두천,2015-03-30 22:00,11.2,,.9,270,46
