,city,date,dates,ground,playteam_1,playteam_2,playtime,score_1,score_2,year,강수량(mm),기온(°C),습도(%),일시,지점,지점명,풍속(m/s),풍향(16방위)
3640,대구,03.29(토),2008-03-29 14:00,시민,KIA,삼성,14:00,3.0,4.0,2008.0,,,,,,,,
3641,인천,03.29(토),2008-03-29 14:00,문학,LG,SK,14:00,4.0,5.0,2008.0,,,,,,,,
3642,대전,03.29(토),2008-03-29 14:00,대전,롯데,한화,14:00,11.0,1.0,2008.0,,,,,,,,
3643,대전,03.30(일),2008-03-30 13:00,대전,롯데,한화,13:30,9.0,8.0,2008.0,,,,,,,,
3644,대구,03.30(일),2008-03-30 14:00,시민,KIA,삼성,14:00,0.0,3.0,2008.0,,,,,,,,
3645,서울,03.30(일),2008-03-30 14:00,잠실,우리,두산,14:00,1.0,4.0,2008.0,,,,,,,,
3646,인천,03.30(일),2008-03-30 15:00,문학,LG,SK,15:00,3.0,1.0,2008.0,,,,,,,,
4676,서울,03.27(토),2010-03-27 14:00,잠실,KIA,두산,14:00,3.0,8.0,2010.0,,,,,,,,
4677,인천,03.27(토),2010-03-27 14:00,문학,한화,SK,14:00,2.0,3.0,2010.0,,,,,,,,
4678,부산,03.27(토),2010-03-27 14:00,사직,넥센,롯데,14:00,3.0,2.0,2010.0,,,,,,,,
4679,대구,03.27(토),2010-03-27 14:00,대구,LG,삼성,14:00,7.0,5.0,2010.0,,,,,,,,
4680,인천,03.28(일),2010-03-28 14:00,문학,한화,SK,14:00,3.0,6.0,2010.0,,,,,,,,
4681,부산,03.28(일),2010-03-28 14:00,사직,넥센,롯데,14:00,11.0,3.0,2010.0,,,,,,,,
4682,대구,03.28(일),2010-03-28 14:00,대구,LG,삼성,14:00,4.0,9.0,2010.0,,,,,,,,
4683,서울,03.28(일),2010-03-28 14:00,잠실,KIA,두산,14:15,9.0,10.0,2010.0,,,,,,,,
4684,서울,03.30(화),2010-03-30 18:00,목동,두산,넥센,18:30,7.0,2.0,2010.0,,,,,,,,
4685,광주,03.30(화),2010-03-30 18:00,무등,삼성,KIA,18:30,6.0,1.0,2010.0,,,,,,,,
4686,서울,03.30(화),2010-03-30 18:00,잠실,SK,LG,18:30,3.0,0.0,2010.0,,,,,,,,
4687,대전,03.30(화),2010-03-30 18:00,대전,롯데,한화,18:30,3.0,13.0,2010.0,,,,,,,,
4688,광주,03.31(수),2010-03-31 18:00,무등,삼성,KIA,18:30,2.0,4.0,2010.0,,,,,,,,
6275,광주,03.30(토),2013-03-30 14:00,무등,넥센,KIA,14:00,9.0,10.0,2013.0,,,,,,,,
6276,인천,03.30(토),2013-03-30 14:00,문학,LG,SK,14:00,7.0,4.0,2013.0,,,,,,,,
6277,부산,03.30(토),2013-03-30 14:00,사직,한화,롯데,14:00,5.0,6.0,2013.0,,,,,,,,
6278,대구,03.30(토),2013-03-30 14:00,대구,두산,삼성,14:00,9.0,4.0,2013.0,,,,,,,,
