,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12,13,14
0,1땅, ,4구, , ,유땅,4구, ,2비,3,0,0,0,0.310,김수연,구장 : 무등,"관중 : 4,738",2001.05.01(화),개시 : 14:01,경기시간 : 2:46,한화,KIA,,,,,,
1,삼진, ,투땅, , ,좌홈,좌안, ,좌안,5,3,3,1,0.379,김종석,구장 : 무등,"관중 : 4,738",2001.05.01(화),개시 : 14:01,경기시간 : 2:46,한화,KIA,,,,,,
2,중비, ,3땅, , ,삼진,3땅, , ,4,0,0,0,0.267,송지만,구장 : 무등,"관중 : 4,738",2001.05.01(화),개시 : 14:01,경기시간 : 2:46,한화,KIA,,,,,,
3, , , , , , , , ,삼진,1,0,0,0,0.083,조경택,구장 : 무등,"관중 : 4,738",2001.05.01(화),개시 : 14:01,경기시간 : 2:46,한화,KIA,,,,,,
4, ,우안, ,좌비, ,좌안, ,좌중홈, ,4,3,1,1,0.386,장종훈,구장 : 무등,"관중 : 4,738",2001.05.01(화),개시 : 14:01,경기시간 : 2:46,한화,KIA,,,,,,
5, ,투유병, ,투땅, ,좌비, ,유땅, ,4,0,0,0,0.297,데이비스,구장 : 무등,"관중 : 4,738",2001.05.01(화),개시 : 14:01,경기시간 : 2:46,한화,KIA,,,,,,
6, ,중안, ,2땅, , ,3땅,사구, ,3,1,0,0,0.306,강석천,구장 : 무등,"관중 : 4,738",2001.05.01(화),개시 : 14:01,경기시간 : 2:46,한화,KIA,,,,,,
7, ,4구, , ,유땅, ,4구,우비, ,2,0,0,1,0.182,황우구,구장 : 무등,"관중 : 4,738",2001.05.01(화),개시 : 14:01,경기시간 : 2:46,한화,KIA,,,,,,
8, ,유직, , ,유땅, , , , ,2,0,0,0,0.174,이범호,구장 : 무등,"관중 : 4,738",2001.05.01(화),개시 : 14:01,경기시간 : 2:46,한화,KIA,,,,,,
9, , , , , , ,삼진,삼진, ,2,0,0,0,0.256,이영우,구장 : 무등,"관중 : 4,738",2001.05.01(화),개시 : 14:01,경기시간 : 2:46,한화,KIA,,,,,,
