,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12,13
0,2땅, ,중비, ,좌비, , ,2땅, ,4,0,0,0,0.323,이병규,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,LG,KIA,,,,,
1,3땅, , ,우2,3땅, , ,삼진, ,4,1,0,1,0.229,최만호,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,LG,KIA,,,,,
2,삼진, , ,2땅, ,1땅, ,1땅, ,4,0,0,0,0.326,김재현,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,LG,KIA,,,,,
3, ,유땅, ,좌홈, ,3땅, , ,3땅,4,1,2,1,0.212,홍현우,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,LG,KIA,,,,,
4, ,4구, ,좌안, ,우안, , ,우안,3,3,0,1,0.342,양준혁,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,LG,KIA,,,,,
5, ,중안, ,삼진, ,2땅, , , ,3,1,0,0,0.301,서용빈,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,LG,KIA,,,,,
6, , , , , , , , ,중홈,1,1,2,1,0.311,최동수,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,LG,KIA,,,,,
7, ,유2병, ,투땅, , , , , ,2,0,0,0,0.259,조인성,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,LG,KIA,,,,,
8, , , , , , ,유땅, , ,1,0,0,0,0.180,장재중,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,LG,KIA,,,,,
9, , , , , , , , ,4구,0,0,0,0,0.279,박연수,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,LG,KIA,,,,,
10, , ,좌비, ,좌중홈, ,2땅, , ,3,1,1,1,0.231,이종열,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,LG,KIA,,,,,
11, , , , , , , , ,3땅,1,0,0,0,0.269,심성보,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,LG,KIA,,,,,
12, , ,3땅, ,투땅, , , , ,2,0,0,0,0.242,권용관,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,LG,KIA,,,,,
13, , , , , , ,유땅, ,2땅,2,0,0,0,0.250,손지환,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,LG,KIA,,,,,
0,2땅, ,포파, ,중홈,좌중홈, , , ,4,2,5,2,0.333,이종범,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,KIA,LG,,,,,
1,4구, ,2병, ,4구,유비, , , ,2,0,0,1,0.248,최익성,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,KIA,LG,,,,,
2,좌비, , ,중비,우안, ,중비, , ,4,1,0,0,0.307,장성호,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,KIA,LG,,,,,
3,중비, , ,3땅,좌안, ,삼진, , ,4,1,1,0,0.303,산토스,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,KIA,LG,,,,,
4, ,삼진, ,4구, , , , , ,1,0,0,0,0.266,이동수,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,KIA,LG,,,,,
5, , , , ,유직, , , , ,1,0,0,0,0.247,장일현,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,KIA,LG,,,,,
6, , , , , , ,3땅, , ,1,0,0,0,0.161,황성기,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,KIA,LG,,,,,
7, , , , , , , , , ,0,0,0,0,0.280,김경언,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,KIA,LG,,,,,
8, ,유땅, ,중2,우비, , ,3안, ,4,2,0,1,0.270,홍세완,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,KIA,LG,,,,,
9, ,4구, , ,4구,중비, ,우안, ,2,1,0,1,0.268,김창희,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,KIA,LG,,,,,
10, ,2땅, , ,우안,중비, ,유2병, ,4,1,0,1,0.264,김상훈,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,KIA,LG,,,,,
11, , ,4구, ,좌비,중안, ,3땅, ,3,1,0,1,0.283,김종국,구장 : 무등,"관중 : 1,838",2001.09.01(토),개시 : 14:02,경기시간 : 2:52,KIA,LG,,,,,
0,2땅, , ,우2,3땅, , , , ,3,1,0,1,0.289,윤재국,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
1, , , , , , , ,중비,2비,2,0,0,0,0.243,조원우,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
2,삼진, , ,유땅,유땅, , , , ,3,0,0,0,0.260,이진영,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
3, , , , , , , ,삼진, ,1,0,0,0,0.258,추성건,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
4, , , , , , , , , ,0,0,0,0,0.159,강성우,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
5,투비, , ,유실, ,우비, ,우중2, ,4,1,1,0,0.349,에레라,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
6, ,1파, ,유실, , , , , ,2,0,0,0,0.311,브리또,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
7, , , , , ,4구, , , ,0,0,0,0,0.241,최태원,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
8, , , , , , , ,2땅, ,1,0,0,0,0.293,정상호,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
9, , , , , , , , , ,0,0,0,0,0.278,박계원,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
10, ,중비, ,3땅, ,3땅, , ,우안,4,1,0,1,0.277,채종범,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
11, ,삼진, ,3땅, ,중비, , , ,3,0,0,0,0.238,이호준,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
12, , , , , , , , ,좌안,1,1,0,0,0.255,양현석,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
13, , ,삼진, ,유안, ,삼진, ,4구,3,1,0,0,0.256,안재만,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
14, , ,좌안, ,투희번, ,유땅, ,유땅,3,1,1,0,0.221,양용모,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
15, , ,1땅, ,우안, ,유비, ,투땅,4,1,0,0,0.184,송재익,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,SK,두산,,,,,
0,투땅,투번, , ,3비, , ,삼진, ,4,0,0,0,0.289,정수근,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
1, , , , , , , , , ,0,0,0,0,0.261,전상렬,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
2,우안, ,우비, ,우비, , ,유땅, ,4,1,0,1,0.287,장원진,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
3,좌홈, ,2파, ,삼진, , ,유직, ,4,1,2,1,0.292,우즈,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
4, , , , , , , , , ,0,0,0,0,0.167,김원섭,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
5,좌비, ,유직, , ,유안, , , ,3,1,0,0,0.311,김동주,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
6,우비, , ,4구, ,유땅, , , ,2,0,0,0,0.282,안경현,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
7, , , , , , , , , ,0,0,0,0,0.204,김민호,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
8, ,4구, ,투희선, ,중비, , , ,1,0,0,1,0.354,심재학,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
9, ,우안, ,중비, , , , , ,2,1,0,0,0.264,홍성흔,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
10, , , , , , ,삼진, , ,1,0,0,0,0.191,이도형,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
11, ,4구, ,좌비, , ,3땅, , ,2,0,0,0,0.259,홍원기,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
12, ,2유병, ,3땅, , ,2비, , ,3,0,0,0,0.238,이종민,구장 : 잠실,"관중 : 6,634",2001.09.01(토),개시 : 17:00,경기시간 : 3:08,두산,SK,,,,,
0,삼진, ,투번, ,2땅, ,투땅, ,유땅,5,0,0,0,0.279,김수연,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,한화,롯데,,,,,
