,0,1,2,3,4,5,6,7,8,9,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,10,11,12
0,유비, , ,삼진,2번, , , , , ,3,0,0,0,0.292,전준호,구장 : 시민,"관중 : 12,000",2002.08.01(목),개시 : 18:30,경기시간 : 4:12,현대,삼성,,,
1, , , , , , , , , , ,0,0,0,0,0.208,서한규,구장 : 시민,"관중 : 12,000",2002.08.01(목),개시 : 18:30,경기시간 : 4:12,현대,삼성,,,
2, , , , , , ,좌2, ,우비, ,2,1,1,0,0.228,강병식,구장 : 시민,"관중 : 12,000",2002.08.01(목),개시 : 18:30,경기시간 : 4:12,현대,삼성,,,
3,삼진, , ,우안, ,중비,유땅, ,삼진, ,5,1,1,1,0.242,박종호,구장 : 시민,"관중 : 12,000",2002.08.01(목),개시 : 18:30,경기시간 : 4:12,현대,삼성,,,
4,삼진, , ,우안, ,삼진,2땅, ,좌중홈, ,5,2,1,2,0.375,프랭클린,구장 : 시민,"관중 : 12,000",2002.08.01(목),개시 : 18:30,경기시간 : 4:12,현대,삼성,,,
5, , , , , , , , , , ,0,0,0,0,0.243,채종국,구장 : 시민,"관중 : 12,000",2002.08.01(목),개시 : 18:30,경기시간 : 4:12,현대,삼성,,,
6, ,2비, ,중안, ,좌안, ,삼진,좌2, ,5,3,1,0,0.332,이숭용,구장 : 시민,"관중 : 12,000",2002.08.01(목),개시 : 18:30,경기시간 : 4:12,현대,삼성,,,
7, ,삼진, ,유땅, ,4구, ,4구,삼진, ,3,0,1,0,0.319,심정수,구장 : 시민,"관중 : 12,000",2002.08.01(목),개시 : 18:30,경기시간 : 4:12,현대,삼성,,,
8, ,2땅, ,4구, , , , , , ,1,0,0,0,0.265,폴,구장 : 시민,"관중 : 12,000",2002.08.01(목),개시 : 18:30,경기시간 : 4:12,현대,삼성,,,
9, , , , , ,우비, ,중안, ,우비,3,1,0,0,0.308,박재홍,구장 : 시민,"관중 : 12,000",2002.08.01(목),개시 : 18:30,경기시간 : 4:12,현대,삼성,,,
