,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9
0,삼진, ,4구,삼진, , ,4구, ,투희번,2,0,0,1,0.243,박현승,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,롯데,KIA,
1,一땅, ,투번, ,一파, ,三희번, ,유비,4,0,0,1,0.143,이인구,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,롯데,KIA,
2,우중안, ,우안, ,우2, ,우비, ,고4,4,3,1,1,0.310,라이온,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,롯데,KIA,
3, , , , , , , , , ,0,0,0,0,0.000,노장진,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,롯데,KIA,
4,유땅, ,三땅, , , , , , ,2,0,0,0,0.308,페레즈,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,롯데,KIA,
5, , , , ,포비, ,중비, ,삼진,3,0,0,0,0.225,김주찬,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,롯데,KIA,
6, ,중안,우안, ,삼진, , ,4구, ,3,2,2,1,0.289,손인호,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,롯데,KIA,
7, ,좌안,중안, , ,중비, ,유땅, ,4,2,1,0,0.231,이대호,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,롯데,KIA,
8, ,삼진,중비, , ,중비, ,투땅, ,4,0,0,0,0.222,김승관,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,롯데,KIA,
9, ,三二병, ,좌비, ,4구, ,우비, ,3,0,0,0,0.197,박기혁,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,롯데,KIA,
10, , ,좌중2,중비, ,삼진, , ,우중2,4,2,0,0,0.274,최기문,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,롯데,KIA,
0,二땅, ,중안, ,좌안, ,투번, ,좌비,5,2,0,1,0.271,이종범,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,KIA,롯데,
1,三땅, ,좌홈, ,4구, ,포파, , ,3,1,3,1,0.250,김종국,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,KIA,롯데,
2,一땅, ,우비, ,유비, , ,좌비, ,4,0,0,0,0.301,장성호,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,KIA,롯데,
3, ,우비, ,삼진, ,중비, ,一파, ,4,0,0,0,0.281,홍세완,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,KIA,롯데,
4, ,우비, ,중비, ,一파, , , ,3,0,0,0,0.285,마해영,구장 : 무등,"관중 : 1,800",2004.08.01(일),개시 : 17:00,경기시간 : 2:56,KIA,롯데,
