,0,1,2,3,4,5,6,7,8,9,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,10,11
0,1땅, ,3안,중비, , ,삼진, ,4구, ,4,1,0,1,0.250,이종욱,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,두산,삼성,,
1,좌비, ,중비, ,유땅, , ,좌안,4구, ,4,1,0,2,0.250,고영민,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,두산,삼성,,
2,투땅, ,삼진, ,3땅, , ,우안, , ,4,1,0,0,0.250,최준석,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,두산,삼성,,
3, , , , , , , , ,투땅, ,1,0,0,1,0.000,윤재국,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,두산,삼성,,
4, ,삼진, ,중비,3땅, , ,중안,우중홈, ,5,2,4,1,0.400,김동주,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,두산,삼성,,
5, ,2안, ,중2, ,포땅, ,우희비,우안, ,4,3,1,1,0.750,홍성흔,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,두산,삼성,,
6, ,32병, ,중안, ,삼진, ,삼진,3땅, ,5,1,0,1,0.200,안경현,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,두산,삼성,,
7, , , , , , , , , , ,0,0,0,0,0.000,정원석,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,두산,삼성,,
8, , ,우비,우안, ,유땅, ,사구, ,삼진,4,1,1,0,0.250,강동우,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,두산,삼성,,
9, , ,좌2,우중안, , ,4구,삼진, ,유땅,4,2,1,0,0.500,안상준,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,두산,삼성,,
10, , ,사구,2땅, , ,유땅, ,삼진,3땅,4,0,0,0,0.000,민병헌,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,두산,삼성,,
0,유땅, ,2땅, ,중비, ,1땅, ,좌희비,고4,4,0,1,0,0.000,박한이,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
1,유땅, ,3실, ,투땅, ,3땅, ,삼진,4구,5,0,1,1,0.000,조동찬,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
2,2땅, ,삼진, ,투땅, , ,1땅,고4, ,4,0,0,0,0.000,양준혁,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
3, ,좌안,우홈, , ,유땅, ,삼진,4구, ,4,2,2,1,0.500,심정수,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
4, ,1땅,삼진, , ,좌비, ,삼진,중비, ,5,0,0,1,0.000,조영훈,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
5, ,좌중2, ,사구, ,우중안, , ,좌안, ,3,3,0,1,1.000,박진만,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
6, , , , , , , , , ,유땅,1,0,0,1,0.000,김재걸,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
7, ,1직, ,삼진, ,1땅, , , , ,3,0,0,0,0.000,진갑용,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
8, , , , , , , , ,4구, ,0,0,0,1,0.000,김대익,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
9, , , , , , , , , ,우안,1,1,0,1,1.000,이정식,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
10, ,우안, ,1땅, , ,우중안, , , ,3,2,2,0,0.667,김창희,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
11, , , , , , , , , , ,0,0,0,0,0.000,강명구,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
12, , , , , , , , ,중2, ,1,1,2,0,1.000,박종호,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
13, , , , , , , , , ,좌비,1,0,0,1,0.000,이태호,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
14, ,우파, ,유비, , ,투희번, ,3안,좌2,4,2,0,0,0.500,신명철,구장 : 시민,"관중 : 12,000",2007.04.06(금),개시 : 18:01,경기시간 : 3:59,삼성,두산,,
0,중비, ,3땅, ,우비, ,삼진, ,삼진, ,6,0,0,0,0.000,김강민,구장 : 대전,"관중 : 7,761",2007.04.06(금),개시 : 17:59,경기시간 : 4:38,SK,한화,투땅, 
1,좌2, ,유땅, , ,2땅,4구, ,좌안, ,5,2,0,1,0.400,박재상,구장 : 대전,"관중 : 7,761",2007.04.06(금),개시 : 17:59,경기시간 : 4:38,SK,한화,투땅, 
2,좌홈, ,삼진, , ,좌2, , , , ,3,2,2,1,0.667,이재원,구장 : 대전,"관중 : 7,761",2007.04.06(금),개시 : 17:59,경기시간 : 4:38,SK,한화, , 
3, , , , , , , , , , ,0,0,0,1,0.000,김동건,구장 : 대전,"관중 : 7,761",2007.04.06(금),개시 : 17:59,경기시간 : 4:38,SK,한화, , 
