,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10
0,유땅, , ,유땅,좌비, , ,유땅, ,4,0,0,0,0.286,이대형,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,LG,삼성,,
1,우비, , ,중안, ,2땅, , ,2땅,4,1,0,1,0.286,이종열,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,LG,삼성,,
2, , , , , , , , , ,0,0,0,0,0.231,박경수,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,LG,삼성,,
3,2땅, , ,좌비, ,중안, , ,우안,4,2,0,0,0.278,발데스,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,LG,삼성,,
4, , , , , , , , , ,0,0,0,0,0.306,오태근,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,LG,삼성,,
5, ,3땅, ,유안, ,32병, , ,2유병,4,1,0,1,0.303,최동수,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,LG,삼성,,
6, ,중비, ,4구, , ,중비, , ,2,0,0,0,0.274,박용택,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,LG,삼성,,
7, ,포파, ,중안, , ,2비, , ,3,1,2,0,0.291,정의윤,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,LG,삼성,,
8, , ,삼진,포비, , ,삼진, , ,3,0,0,0,0.251,김상현,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,LG,삼성,,
9, , ,2파, ,포파, , ,3땅, ,3,0,0,0,0.282,조인성,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,LG,삼성,,
10, , ,중비, ,투땅, , ,삼진, ,3,0,0,0,0.257,권용관,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,LG,삼성,,
0,중비, ,2땅,삼진, , ,1땅, ,고4,4,0,0,0,0.264,박한이,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,삼성,LG,,
1,4구, ,2땅, ,중안, ,4구, ,우2,3,2,1,0,0.229,김재걸,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,삼성,LG,,
2,4구, ,우중안, ,2유병, ,2땅, , ,3,1,0,0,0.329,양준혁,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,삼성,LG,,
3,유2병, ,삼진, ,삼진, , ,삼진, ,4,0,0,0,0.248,심정수,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,삼성,LG,,
4, ,4구, ,4구, ,유땅, ,좌안, ,2,1,0,1,0.294,박진만,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,삼성,LG,,
5, ,유실, ,유안, ,삼진, ,삼진, ,4,1,0,1,0.246,신명철,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,삼성,LG,,
6, ,삼진, , , , , , , ,1,0,0,0,0.182,채태인,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,삼성,LG,,
7, , , ,투희번, , , , , ,0,0,0,0,0.217,박정환,구장 : 시민,"관중 : 5,141",2007.08.01(수),개시 : 17:59,경기시간 : 3:07,삼성,LG,,
