,0,1,2,3,4,5,6,7,8,9,10,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,11,12
0,삼진, ,1땅, , ,삼진,중비, , ,삼진, ,5,0,0,0,0.228,우동균,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,삼성,우리,,
1,중안, , ,우비, ,우안, , , , , ,3,2,0,0,0.244,박진만,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,삼성,우리,,
2, , , , , , , ,유비, ,2땅, ,2,0,0,0,0.000,손주인,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,삼성,우리,,
3,중비, , ,1땅, ,우안, ,우비, ,우비, ,5,1,0,0,0.276,최형우,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,삼성,우리,,
4,삼진, , ,4구, ,삼진, ,4구, , ,우안,3,1,0,0,0.278,박석민,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,삼성,우리,,
5, ,좌비, ,우안, ,고4, ,3파, , ,삼진,4,1,0,0,0.266,채태인,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,삼성,우리,,
6, ,삼진, ,삼진, ,우비, , ,삼진, ,유땅,5,0,0,0,0.197,심광호,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,삼성,우리,,
7, , , , , , , , , , , ,0,0,0,0,0.250,현재윤,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,삼성,우리,,
8, ,3땅, , ,우비, ,1파, ,유땅, ,4구,4,0,0,0,0.215,조동찬,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,삼성,우리,,
9, , ,좌비, ,포파, ,우비, , , , ,3,0,0,0,0.119,허승민,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,삼성,우리,,
10, , , , , , , , ,3땅, ,1파,2,0,0,0,0.278,강봉규,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,삼성,우리,,
11, , ,유땅, ,유땅, , , , , , ,2,0,0,0,0.187,신명철,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,삼성,우리,,
12, , , , , , ,좌중홈, , ,좌2, ,2,2,1,1,0.176,손지환,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,삼성,우리,,
0,유땅, ,좌안, ,2안, ,좌비, , ,삼진, ,5,2,0,0,0.279,정수성,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,우리,삼성,,
1,2땅, ,투땅, ,우비, , , , , , ,3,0,0,0,0.316,전준호,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,우리,삼성,,
2, , , , , , ,좌비, , ,4구, ,1,0,0,0,0.160,오윤,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,우리,삼성,,
3,중안, ,4구, ,삼진, , , , , , ,2,1,0,0,0.261,강병식,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,우리,삼성,,
4, , , , , , , ,우중안, ,3땅, ,2,1,0,0,0.319,이택근,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,우리,삼성,,
5,좌안, ,삼진, , ,삼진, , , , , ,3,1,0,0,0.279,조중근,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,우리,삼성,,
6, , , , , , , , , , , ,0,0,0,0,0.200,이성재,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,우리,삼성,,
7, , , , , , , ,3땅, , , ,1,0,0,0,0.000,김민우,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,우리,삼성,,
8, , , , , , , , , , ,4구,0,0,0,0,0.273,이숭용,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,우리,삼성,,
9, , , , , , , , , , , ,0,0,0,1,0.267,김일경,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,우리,삼성,,
10,우안, ,2비, , , , , , , , ,2,1,0,0,0.269,정성훈,구장 : 목동,"관중 : 1,236",2008.10.01(수),개시 : 18:30,경기시간 : 3:31,우리,삼성,,
