,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12
0,1땅,삼진, ,좌안,4구, ,1땅, ,좌비,5,1,0,0,0.200,고동진,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,한화,우리,,,,
1,4구, ,중안,삼진,2땅, ,중안, , ,4,2,0,0,0.417,추승우,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,한화,우리,,,,
2,1땅, ,2땅, ,중안,2우안,2땅, , ,5,2,0,1,0.182,클락,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,한화,우리,,,,
3,삼진, ,3땅, ,우비,삼진, ,좌안, ,5,1,0,0,0.333,김태완,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,한화,우리,,,,
4, , , , , , , , , ,0,0,0,0,0.250,김수연,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,한화,우리,,,,
5, , , , , , , , , ,0,0,0,0,1.000,송광민,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,한화,우리,,,,
6, ,유땅,3땅, ,좌안,4구, ,유병, ,4,1,0,1,0.273,이영우,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,한화,우리,,,,
7, ,좌안, ,3땅,좌안,4구, ,좌안, ,4,3,1,2,0.417,이범호,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,한화,우리,,,,
8, ,4구, ,삼진,중비, , , , ,2,0,0,0,0.000,한상훈,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,한화,우리,,,,
9, , , , , , , , , ,0,0,0,0,0.000,이도형,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,한화,우리,,,,
10, , , , , ,삼진, , , ,1,0,0,0,0.000,윤재국,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,한화,우리,,,,
11, , , , , , , ,삼진, ,1,0,0,0,0.000,오선진,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,한화,우리,,,,
12, ,삼진, ,중2,우중2,유땅, , ,삼진,5,2,2,1,0.300,신경현,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,한화,우리,,,,
13, ,중안, ,3안,좌안, ,유땅, ,삼진,5,3,1,0,0.273,김민재,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,한화,우리,,,,
0,사구,삼진, ,중비, ,우비, ,2안, ,4,1,0,0,0.111,이택근,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,우리,한화,,,,
1,좌안, ,4구,유비, , ,4구,좌비, ,3,1,0,1,0.250,이숭용,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,우리,한화,,,,
2,1파, ,중안,삼진, , , , , ,3,1,0,1,0.333,정성훈,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,우리,한화,,,,
3, , , , , , , , , ,0,0,0,0,0.750,강정호,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,우리,한화,,,,
4, , , , , , ,우안, , ,1,1,0,0,1.000,강병식,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,우리,한화,,,,
5, , , , , , , , ,삼진,1,0,0,0,0.000,유재신,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,우리,한화,,,,
6,고4, ,좌중홈, ,우중2, ,4구, ,우안,3,3,3,2,0.714,브룸바,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,우리,한화,,,,
7, , , , , , , , , ,0,0,0,1,0.000,정수성,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,우리,한화,,,,
8,3병, ,중비, ,1땅, ,1땅, ,우중안,5,1,0,1,0.125,송지만,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,우리,한화,,,,
9, ,2안,중비, ,3안, ,4구, ,우안,4,3,2,0,0.625,황재균,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,우리,한화,,,,
10, ,중비,좌안, ,1땅, ,2땅, ,1땅,5,1,0,0,0.200,김동수,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,우리,한화,,,,
11, ,4구,유비, , ,2땅, ,3땅, ,3,0,0,0,0.000,전동수,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,우리,한화,,,,
12, , , , , , , , ,좌안,1,1,1,0,1.000,조평호,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,우리,한화,,,,
13, ,투번, ,중2, ,삼진, ,우비, ,4,1,0,0,0.286,김일경,구장 : 목동,"관중 : 4,833",2008.04.01(화),개시 : 18:32,경기시간 : 3:54,우리,한화,,,,
0,삼진, ,좌중안, ,3비, , ,투땅,유안,5,2,0,0,0.222,이종욱,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,두산,KIA,,,,
1,좌안, ,삼진, ,중비, , ,유땅,중비,5,1,0,1,0.222,민병헌,구장 : 무등,"관중 : 13,400",2008.04.01(화),개시 : 18:31,경기시간 : 3:28,두산,KIA,,,,
