,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12,13,14,15,16,17
0,삼진, ,우2, ,투2안,2땅, , ,유비,5,2,1,0,0.314,이용규,구장 : 시민,"관중 : 12,000",2008.09.02(화),개시 : 18:31,경기시간 : 3:23,KIA,삼성,,,,,,,,,
1,2땅, ,사구, , , , , , ,1,0,0,0,0.289,이종범,구장 : 시민,"관중 : 12,000",2008.09.02(화),개시 : 18:31,경기시간 : 3:23,KIA,삼성,,,,,,,,,
2, , , , ,좌비,2땅, , ,2땅,3,0,0,0,0.304,김원섭,구장 : 시민,"관중 : 12,000",2008.09.02(화),개시 : 18:31,경기시간 : 3:23,KIA,삼성,,,,,,,,,
3,중비, ,4구, ,유땅, ,4구, ,중안,3,1,0,0,0.317,장성호,구장 : 시민,"관중 : 12,000",2008.09.02(화),개시 : 18:31,경기시간 : 3:23,KIA,삼성,,,,,,,,,
4, ,좌파,중비, , ,우안,2병, ,중안,5,2,0,1,0.239,최희섭,구장 : 시민,"관중 : 12,000",2008.09.02(화),개시 : 18:31,경기시간 : 3:23,KIA,삼성,,,,,,,,,
5, ,우비, ,투땅, ,4구,삼진, ,삼진,4,0,0,1,0.283,나지완,구장 : 시민,"관중 : 12,000",2008.09.02(화),개시 : 18:31,경기시간 : 3:23,KIA,삼성,,,,,,,,,
6, ,4구, ,우중안, ,4구, ,중비, ,2,1,0,1,0.278,김상훈,구장 : 시민,"관중 : 12,000",2008.09.02(화),개시 : 18:31,경기시간 : 3:23,KIA,삼성,,,,,,,,,
7, ,3땅, ,유비, , , , , ,2,0,0,0,0.262,이현곤,구장 : 시민,"관중 : 12,000",2008.09.02(화),개시 : 18:31,경기시간 : 3:23,KIA,삼성,,,,,,,,,
8, , , , , ,중안, , , ,1,1,2,0,0.324,최경환,구장 : 시민,"관중 : 12,000",2008.09.02(화),개시 : 18:31,경기시간 : 3:23,KIA,삼성,,,,,,,,,
9, , , , , , , ,3땅, ,1,0,0,0,0.143,김형철,구장 : 시민,"관중 : 12,000",2008.09.02(화),개시 : 18:31,경기시간 : 3:23,KIA,삼성,,,,,,,,,
10, , ,유땅,우비, ,삼진, ,좌2, ,4,1,0,0,0.234,김주형,구장 : 시민,"관중 : 12,000",2008.09.02(화),개시 : 18:31,경기시간 : 3:23,KIA,삼성,,,,,,,,,
11, , ,2비, ,투땅, , , , ,2,0,0,0,0.229,김종국,구장 : 시민,"관중 : 12,000",2008.09.02(화),개시 : 18:31,경기시간 : 3:23,KIA,삼성,,,,,,,,,
