,0,1,2,3,4,5,6,7,8,9,10,11,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2
0,좌안, ,4구, ,중안, ,2병, ,삼진, , ,유땅,5,2,0,1,0.284,강동우,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,한화,KIA
1,중비, ,삼진, ,4구, ,중비, , ,2땅, , ,4,0,0,0,0.289,연경흠,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,한화,KIA
2,4구, ,4구, ,삼진, , ,투땅, ,삼진, , ,3,0,0,1,0.295,디아즈,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,한화,KIA
3,1비, ,우안, ,삼진, , ,좌홈, ,삼진, , ,5,2,2,1,0.310,김태완,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,한화,KIA
4,삼진, ,1땅, ,삼진, , ,좌중2, , ,2땅, ,5,1,1,0,0.294,이범호,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,한화,KIA
5, ,삼진,중비, , ,좌비, , , , , , ,3,0,0,0,0.500,이도형,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,한화,KIA
6, , , , , , , ,삼진, , ,좌비, ,2,0,0,0,0.235,추승우,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,한화,KIA
7, ,2땅, ,삼진, ,삼진, ,삼진, , ,삼진, ,5,0,0,0,0.200,신경현,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,한화,KIA
8, ,삼진, ,3땅, ,삼진, , ,삼진, , ,3땅,5,0,0,0,0.216,송광민,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,한화,KIA
9, , ,좌홈,3땅, , ,중안, ,2땅, , ,우비,5,2,1,1,0.500,이여상,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,한화,KIA
0,유땅,좌안, , ,우비,삼진, , ,2땅, ,4구, ,5,1,0,0,0.329,김원섭,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,KIA,한화
1,좌안,유병, , ,중비, ,우비, ,4구, , , ,4,1,0,1,0.314,장성호,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,KIA,한화
2, , , , , , , , , , ,삼진, ,1,0,0,0,0.667,최용규,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,KIA,한화
3,4구, ,유땅, ,삼진, ,1비, ,좌안, ,중안, ,5,2,0,0,0.228,나지완,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,KIA,한화
4,삼진, ,1땅, , ,우중홈,4구, ,고4, , ,4구,3,1,1,1,0.322,최희섭,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,KIA,한화
5, , , , , , , , , , , , ,0,0,0,0,0.182,신종길,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,KIA,한화
6,중안, ,우비, , ,중비,삼진, , , , , ,4,1,1,0,0.326,김상현,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,KIA,한화
7, , , , , , , , ,우비, , ,투땅,2,0,0,0,0.167,박기남,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,KIA,한화
8, , , , , , , , , , , , ,0,0,0,0,0.192,김선빈,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,KIA,한화
9,4구, , ,좌중2, ,유땅, ,삼진, ,삼진, ,1비,5,1,0,0,0.253,이종범,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,KIA,한화
10,삼진, , ,1직, ,좌안, ,우안, ,유땅, , ,5,2,0,1,0.256,안치홍,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,KIA,한화
11, ,우비, ,중안, ,우중안, ,4구, ,삼진, , ,4,2,1,1,0.203,김상훈,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,KIA,한화
12, ,4구, ,삼진, ,좌2, ,3땅, , ,삼진, ,4,1,1,0,0.202,이현곤,구장 : 군산,"관중 : 11,000",2009.05.01(금),개시 : 18:30,경기시간 : 4:40,KIA,한화
0,중비, ,2병, , ,유땅, ,삼진, ,,,,4,0,0,0,0.375,황재균,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,,LG
1,우비, ,4구, , ,우비, , , ,,,,2,0,0,0,0.200,김일경,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,,LG
2, , , , , , , , ,4구,,,,0,0,0,1,0.214,이숭용,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,,LG
3,중비, , ,삼진, , ,중안, ,4구,,,,3,1,0,1,0.253,이택근,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,,LG
4, ,중비, ,삼진, , ,3땅, ,중안,,,,4,1,1,1,0.286,브룸바,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,,LG
5, ,2땅, ,좌중안, , ,투실, ,4구,,,,3,1,0,0,0.274,클락,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,,LG
6, ,삼진, , ,중비, ,2직, ,4구,,,,3,0,1,0,0.203,송지만,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,,LG
7, , ,좌중홈, ,투땅, ,중비, ,사구,,,,3,1,2,1,0.238,장영석,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,,LG
8, , , , , , , , , ,,,,0,0,0,0,0.350,김민우,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,,LG
9, , ,좌중2, ,삼진, , , , ,,,,2,1,0,1,0.273,허준,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,,LG
10, , , , , , , ,유실,투포병,,,,2,0,0,0,0.309,강귀태,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,,LG
11, , ,투안, , ,삼진, ,투유병,1땅,,,,4,1,0,0,0.167,강정호,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,,LG
0,우홈, ,중안,4구, ,투땅, ,우3, ,,,,4,3,1,3,0.481,박용택,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
1, , , , , , , , , ,,,,0,0,0,0,0.250,박용근,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
2,중안, ,삼진,1땅, ,좌안, , , ,,,,4,2,0,1,0.275,이대형,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
3, , , , , , , ,좌안, ,,,,1,1,1,0,0.229,안치용,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
4,좌비, ,중안, ,삼진,우비, , , ,,,,4,1,0,1,0.284,정성훈,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
5, , , , , , , ,우중안, ,,,,1,1,0,0,0.254,조인성,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
6, , , , , , , , , ,,,,0,0,0,0,0.000,김태완,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
7,4구, ,2땅, ,4구,중2, ,중비, ,,,,3,1,1,2,0.391,페타지니,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
8, , , , , , , , , ,,,,0,0,0,0,0.000,최동환,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
9, , , , , , , , , ,,,,0,0,0,0,0.000,류택현,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
10, , , , , , , , , ,,,,0,0,0,0,0.000,우규민,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
11,유땅, ,중안, ,4구,좌안, ,유2병, ,,,,4,2,3,1,0.290,최동수,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
12,좌비, ,삼진, ,중홈,삼진, , , ,,,,4,1,3,1,0.318,이진영,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
13, , , , , , , , , ,,,,0,0,0,0,0.000,오태근,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
14, ,삼진, ,좌안,3땅, ,우비, , ,,,,4,1,0,0,0.190,박경수,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
15, ,3땅, ,투희번,좌안, ,좌안, , ,,,,3,2,0,0,0.357,김정민,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
16, ,유땅, ,삼진,좌비, ,32병, , ,,,,4,0,0,0,0.230,권용관,구장 : 잠실,"관중 : 14,087",2009.05.01(금),개시 : 18:29,경기시간 : 3:21,LG,
0,삼진, ,2안, ,삼진, ,1땅, , ,,,,4,1,0,0,0.250,우동균,구장 : 문학,"관중 : 17,144",2009.05.01(금),개시 : 18:31,경기시간 : 2:58,삼성,SK
1,좌중안, ,우비, ,유땅, , ,4구, ,,,,3,1,0,0,0.236,강봉규,구장 : 문학,"관중 : 17,144",2009.05.01(금),개시 : 18:31,경기시간 : 2:58,삼성,SK
2, , , , , , , , , ,,,,0,0,0,0,0.222,신명철,구장 : 문학,"관중 : 17,144",2009.05.01(금),개시 : 18:31,경기시간 : 2:58,삼성,SK
3,투땅, ,중안, ,투땅, , ,2병, ,,,,4,1,0,0,0.250,박한이,구장 : 문학,"관중 : 17,144",2009.05.01(금),개시 : 18:31,경기시간 : 2:58,삼성,SK
4,4구, ,투땅, , ,삼진, ,좌비, ,,,,3,0,0,0,0.294,최형우,구장 : 문학,"관중 : 17,144",2009.05.01(금),개시 : 18:31,경기시간 : 2:58,삼성,SK
5,삼진, ,3땅, , ,우2, , ,1땅,,,,4,1,0,0,0.320,진갑용,구장 : 문학,"관중 : 17,144",2009.05.01(금),개시 : 18:31,경기시간 : 2:58,삼성,SK
6, ,삼진, ,우2, ,3땅, , ,우안,,,,4,2,0,0,0.224,채태인,구장 : 문학,"관중 : 17,144",2009.05.01(금),개시 : 18:31,경기시간 : 2:58,삼성,SK
7, , , , , , , , , ,,,,0,0,0,0,0.000,손주인,구장 : 문학,"관중 : 17,144",2009.05.01(금),개시 : 18:31,경기시간 : 2:58,삼성,SK
8, ,중안, ,유직, ,3땅, , ,삼진,,,,4,1,0,0,0.284,박진만,구장 : 문학,"관중 : 17,144",2009.05.01(금),개시 : 18:31,경기시간 : 2:58,삼성,SK
9, ,중비, ,중비, , ,유땅, , ,,,,3,0,0,0,0.228,조동찬,구장 : 문학,"관중 : 17,144",2009.05.01(금),개시 : 18:31,경기시간 : 2:58,삼성,SK
10, , , , , , , , ,좌안,,,,1,1,0,0,0.326,김창희,구장 : 문학,"관중 : 17,144",2009.05.01(금),개시 : 18:31,경기시간 : 2:58,삼성,SK
11, ,2비, ,3땅, , ,중비, , ,,,,3,0,0,0,0.255,김상수,구장 : 문학,"관중 : 17,144",2009.05.01(금),개시 : 18:31,경기시간 : 2:58,삼성,SK
