,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2
0,우안,삼진, ,좌안, ,4구, , ,삼진,4,2,0,1,0.500,박용택,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,LG,두산
1,투비, ,우안,중비, ,우비, , , ,4,1,0,1,0.250,손주인,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,LG,두산
2, , , , , , , , ,1땅,1,0,0,0,0.000,이병규,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,LG,두산
3,투안, ,2땅,유안, , ,1땅, ,유비,5,2,0,0,0.400,이진영,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,LG,두산
4,4구, ,4구,2땅, , ,1땅, , ,2,0,0,1,0.000,조쉬벨,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,LG,두산
5,유비, ,중비, ,유비, ,2땅, , ,4,0,0,0,0.000,이병규,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,LG,두산
6,4구, ,좌안, ,1비, , ,좌홈, ,3,2,3,1,0.667,정성훈,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,LG,두산
7,유비, ,중안, ,좌비, , ,삼진, ,4,1,1,0,0.250,정의윤,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,LG,두산
8, ,좌비,우파, , ,2땅, , , ,3,0,0,0,0.000,최경철,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,LG,두산
9, , , , , , , ,중비, ,1,0,0,0,0.000,김용의,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,LG,두산
10, , , , , , , , , ,0,0,0,0,0.000,조윤준,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,LG,두산
11, ,삼진, ,삼진, ,삼진, ,유땅, ,4,0,0,0,0.000,권용관,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,LG,두산
0,좌2, ,우비,3포병, ,4구, ,우비, ,4,1,0,0,0.250,민병헌,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,두산,LG
1,1비, ,2땅, ,우홈,1땅, , , ,4,1,1,1,0.250,오재원,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,두산,LG
2,좌비, ,4구, ,중비, ,좌비, , ,3,0,0,1,0.000,김현수,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,두산,LG
3,3땅, ,중홈, ,중안, ,2비, , ,4,2,3,1,0.500,칸투,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,두산,LG
4, , , , , , , , , ,0,0,0,0,0.000,오재일,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,두산,LG
5, ,유땅,삼진, ,좌비, ,유땅, , ,4,0,0,0,0.000,홍성흔,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,두산,LG
6, ,투비, ,4구,우비, , ,2비, ,3,0,0,0,0.000,이원석,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,두산,LG
7, ,좌홈, ,중안, ,유땅, ,유비, ,4,2,1,1,0.500,양의지,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,두산,LG
8, ,좌비, ,1희번, ,삼진, ,4구, ,2,0,0,0,0.000,김재호,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,두산,LG
9, , ,사구,사구, ,4구, ,좌안, ,1,1,0,1,1.000,정수빈,구장 : 잠실,"관중 : 26,000",2014.03.29(토),개시 : 14:02,경기시간 : 3:17,두산,LG
