,0,1,2,3,4,5,6,7,8,9,10,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,11
0,우홈,1땅, ,우안, ,중안,중안, ,1땅, , ,6,4,1,2,0.353,이용규,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,한화,넥센,
1,좌비,2직, ,우안, ,우안,1직, , ,삼진, ,6,2,1,0,0.220,정근우,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,한화,넥센,
2,삼진, ,중홈,삼진, , , , , , , ,3,1,1,1,0.274,이성열,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,한화,넥센,
3, , , , , ,삼진, ,삼진, ,유비, ,3,0,0,0,0.148,송주호,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,한화,넥센,
4,우안, ,3땅,2땅, ,유땅, ,삼진, ,삼진, ,6,1,1,0,0.291,김태균,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,한화,넥센,
5,중안, ,좌안, ,삼진,4구, ,4구, , ,삼진,4,2,0,0,0.299,최진행,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,한화,넥센,
6,4구, ,우비, ,4구,좌비, ,삼진, , ,우비,4,0,0,1,0.221,김회성,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,한화,넥센,
7, , , , , , , , , , , ,0,0,0,0,0.246,주현상,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,한화,넥센,
8,2땅, , , , , , , , , , ,1,0,0,0,0.256,이종환,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,한화,넥센,
9, , ,2땅, ,2땅, ,3땅, ,우안, ,삼진,5,1,0,0,0.205,권용관,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,한화,넥센,
10, ,삼진, ,유땅,좌중2, , , , , , ,3,1,1,0,0.161,허도환,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,한화,넥센,
11, , , , , , ,1땅, ,투희번, , ,1,0,0,0,0.197,조인성,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,한화,넥센,
12, ,우홈, ,우안,1땅, ,우홈, ,좌비, , ,5,3,2,3,0.240,강경학,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,한화,넥센,
0,좌2, ,3땅, ,사구,삼진, , ,4구, ,고4,3,1,0,2,0.344,이택근,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,넥센,한화,
1,3파, ,중안, , , , , , , , ,2,1,0,0,0.304,고종욱,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,넥센,한화,
2, , , , ,삼진, ,2땅, ,삼진, ,좌중2,4,1,1,0,0.246,박헌도,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,넥센,한화,
3,투땅, ,4구, ,중홈, ,중홈, , ,유비, ,4,2,3,3,0.237,스나이더,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,넥센,한화,
4,중안, ,유안, ,2비, ,삼진, , ,4구, ,4,2,1,1,0.337,박병호,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,넥센,한화,
5,4구, ,좌2, ,우홈, ,3땅, , ,중비, ,4,2,3,1,0.392,유한준,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,넥센,한화,
6,포파, ,3땅, ,4구, , ,유땅, ,우비, ,4,0,0,0,0.359,김민성,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,넥센,한화,
7, ,우비, ,3땅,삼진, , ,중비, , ,좌안,5,1,0,0,0.296,윤석민,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,넥센,한화,
8, , , , , , , , , , , ,0,0,0,1,0.000,유재신,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,넥센,한화,
9, ,3땅, ,2땅, ,삼진, ,중비, , ,삼진,5,0,0,0,0.266,김하성,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,넥센,한화,
10, ,3땅, ,삼진, ,3땅, , ,유땅, ,삼진,5,0,0,0,0.262,박동원,구장 : 목동,"관중 : 11,959",2015.06.02(화),개시 : 18:30,경기시간 : 4:35,넥센,한화,
0,삼진,투안,삼진,4구, ,중안,좌2,,,,,5,3,2,2,0.264,오지환,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,LG,NC,
1, , , , , , , ,,,,,0,0,0,0,0.100,김영관,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,LG,NC,
2,2땅,좌2,우안,4구, ,3직,우중2,,,,,5,3,5,1,0.289,김용의,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,LG,NC,
3,유땅,4구,4구,좌비, ,우홈, ,,,,,3,1,2,1,0.276,박용택,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,LG,NC,
4, , , , , , ,좌홈,,,,,1,1,2,1,0.345,나성용,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,LG,NC,
5, ,좌안/ 삼진,4구, ,중안, , ,,,,,3,2,0,2,0.329,한나한,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,LG,NC,
6, , , , , ,삼진,삼진,,,,,2,0,0,0,0.333,이민재,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,LG,NC,
7, ,우안,유직/ 2땅, ,중홈,4구, ,,,,,4,2,2,2,0.263,이병규,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,LG,NC,
8, , , , , , , ,,,,,0,0,0,0,0.231,채은성,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,LG,NC,
9, ,삼진,좌홈,중비,4구,좌비, ,,,,,4,1,1,2,0.265,양석환,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,LG,NC,
10, ,4구,중2,삼진,좌중2, ,삼진,,,,,4,2,1,2,0.200,문선재,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,LG,NC,
11, ,중안,사구,4구,투땅, , ,,,,,2,1,2,3,0.242,최경철,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,LG,NC,
12, , , , , , ,4구,,,,,0,0,0,1,0.255,유강남,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,LG,NC,
13, ,유땅,투안,좌안,우비, ,우파,,,,,5,2,0,1,0.326,황목치승,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,LG,NC,
0,2땅, ,좌비, , ,우중3,중비,,,,,4,1,0,1,0.305,박민우,구장 : 마산,"관중 : 4,904",2015.06.02(화),개시 : 18:30,경기시간 : 3:03,NC,LG,
