,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11
0,2비,4구, , , , , , , ,1,0,0,0,0.278,오정복,구장 : 잠실,"관중 : 15,632",2016.05.01(일),개시 : 14:00,경기시간 : 3:23,KT,LG,,,
1, , , ,중안, , , , , ,1,1,0,0,0.300,전민수,구장 : 잠실,"관중 : 15,632",2016.05.01(일),개시 : 14:00,경기시간 : 3:23,KT,LG,,,
2, , , , , , ,32병, , ,1,0,0,0,0.146,윤요섭,구장 : 잠실,"관중 : 15,632",2016.05.01(일),개시 : 14:00,경기시간 : 3:23,KT,LG,,,
3, , , , , , , , ,삼진,1,0,0,0,0.225,하준호,구장 : 잠실,"관중 : 15,632",2016.05.01(일),개시 : 14:00,경기시간 : 3:23,KT,LG,,,
4,좌안,2땅, ,2땅, , ,1땅, , ,4,1,0,1,0.284,이대형,구장 : 잠실,"관중 : 15,632",2016.05.01(일),개시 : 14:00,경기시간 : 3:23,KT,LG,,,
5,우안, ,좌비, ,중안, , ,유땅, ,4,2,0,1,0.361,이진영,구장 : 잠실,"관중 : 15,632",2016.05.01(일),개시 : 14:00,경기시간 : 3:23,KT,LG,,,
6,좌중2, ,2땅, ,3파, , ,유땅, ,4,1,2,0,0.374,유한준,구장 : 잠실,"관중 : 15,632",2016.05.01(일),개시 : 14:00,경기시간 : 3:23,KT,LG,,,
7,2비, ,4구, ,유2병, , ,삼진, ,3,0,0,0,0.300,박경수,구장 : 잠실,"관중 : 15,632",2016.05.01(일),개시 : 14:00,경기시간 : 3:23,KT,LG,,,
8,2땅, ,중비, , ,2땅, , ,삼진,4,0,0,0,0.187,김상현,구장 : 잠실,"관중 : 15,632",2016.05.01(일),개시 : 14:00,경기시간 : 3:23,KT,LG,,,
9, ,3땅, ,중안, ,4구, , ,4구,2,1,0,0,0.250,박기혁,구장 : 잠실,"관중 : 15,632",2016.05.01(일),개시 : 14:00,경기시간 : 3:23,KT,LG,,,
