,year,date,playtime,playteam_1,playteam_2,score_1,score_2,ground
0,2001,04.05(목),14:00,LG,SK,6,11,인천
1,,,14:00,KIA,두산,5,6,잠실
2,,,14:00,롯데,현대,5,1,수원
3,,,14:10,한화,삼성,3,4,시민
4,,04.06(금),18:30,한화,삼성,3,12,시민
5,,,18:30,LG,SK,4,7,인천
6,,,18:30,KIA,두산,2,8,잠실
7,,,18:30,롯데,현대,1,3,수원
8,,04.07(토),17:00,현대,KIA,4,5,무등
9,,,17:00,두산,LG,3,0,잠실
10,,,17:00,삼성,롯데,2,4,사직
11,,,17:00,SK,한화,0,9,대전
12,,04.08(일),14:00,현대,KIA,4,6,무등
13,,,14:00,두산,LG,2,6,잠실
14,,,14:00,삼성,롯데,3,1,사직
15,,,14:00,SK,한화,11,17,대전
16,,04.10(화),18:30,롯데,KIA,3,4,무등
17,,,18:30,삼성,SK,3,2,인천
18,,,18:30,한화,LG,6,2,잠실
19,,,18:30,두산,현대,8,4,수원
20,,04.11(수),18:30,롯데,KIA,4,1,무등
21,,04.12(목),14:50,삼성,SK,10,2,인천
22,,,15:00,한화,LG,10,2,잠실
23,,,15:00,두산,현대,14,6,수원
24,,,18:10,두산,현대,1,10,수원
25,,,18:20,한화,LG,10,6,잠실
26,,,18:30,롯데,KIA,6,7,무등
27,,,18:40,삼성,SK,0,4,인천
28,,04.13(금),18:30,현대,SK,3,4,인천
29,,,18:30,LG,삼성,5,8,시민
30,,,18:30,롯데,두산,6,4,잠실
31,,,18:30,KIA,한화,6,9,청주
32,,04.14(토),14:00,LG,삼성,5,6,시민
33,,,17:00,현대,SK,1,4,인천
34,,,17:00,롯데,두산,2,7,잠실
35,,,17:00,KIA,한화,3,5,청주
36,,04.15(일),14:00,현대,SK,8,4,인천
37,,,14:00,LG,삼성,2,13,시민
38,,,14:00,롯데,두산,6,1,잠실
39,,,14:00,KIA,한화,5,0,청주
40,,04.17(화),18:00,삼성,두산,0,5,잠실
41,,,18:30,SK,KIA,1,3,무등
42,,,18:30,LG,롯데,6,3,사직
43,,,18:30,한화,현대,0,5,수원
44,,04.18(수),18:30,SK,KIA,11,2,무등
45,,,18:30,삼성,두산,4,5,잠실
46,,,18:30,LG,롯데,12,8,사직
47,,,18:30,한화,현대,6,5,수원
48,,04.19(목),18:30,SK,KIA,6,4,무등
49,,,18:30,삼성,두산,8,4,잠실
50,,,18:30,LG,롯데,10,7,사직
51,,,18:30,한화,현대,5,1,수원
52,,04.20(금),18:30,SK,삼성,4,1,시민
53,,,18:30,KIA,LG,4,17,잠실
54,,,18:30,현대,롯데,6,1,사직
55,,,18:30,두산,한화,6,2,대전
56,,04.21(토),14:00,KIA,LG,7,3,잠실
57,,,17:00,SK,삼성,5,6,시민
58,,,17:00,현대,롯데,10,6,사직
59,,,17:00,두산,한화,5,10,대전
60,,04.22(일),14:00,SK,삼성,6,4,시민
61,,,14:00,KIA,LG,10,6,잠실
62,,,14:00,현대,롯데,4,3,사직
63,,,14:00,두산,한화,10,4,대전
64,,04.24(화),18:30,한화,SK,2,3,인천
65,,,18:30,롯데,삼성,7,8,시민
66,,,18:30,두산,KIA,10,10,무등
67,,,18:30,현대,LG,13,2,잠실
68,,04.25(수),18:30,한화,SK,0,2,인천
69,,,18:30,롯데,삼성,5,4,시민
70,,,18:30,두산,KIA,3,2,무등
71,,,18:30,현대,LG,2,3,잠실
72,,04.26(목),18:30,한화,SK,0,2,인천
73,,,18:30,롯데,삼성,5,9,시민
74,,,18:30,두산,KIA,5,4,무등
75,,,18:30,현대,LG,10,5,잠실
76,,04.27(금),18:30,KIA,롯데,2,1,마산
77,,,18:30,SK,두산,1,4,잠실
78,,,18:30,삼성,현대,4,6,수원
79,,,18:30,LG,한화,5,9,대전
80,,04.28(토),16:50,KIA,롯데,1,5,마산
81,,,17:00,SK,두산,6,7,잠실
82,,,17:00,삼성,현대,1,12,수원
83,,,17:00,LG,한화,4,7,대전
84,,04.29(일),14:00,SK,두산,10,5,잠실
85,,,14:00,삼성,현대,10,4,수원
86,,04.30(월),18:30,LG,한화,2,5,대전
0,2001,05.01(화),14:00,한화,KIA,4,2,무등
1,,,14:00,두산,삼성,1,12,시민
2,,,14:00,롯데,LG,1,5,잠실
3,,,14:00,SK,현대,2,12,수원
4,,05.02(수),18:30,한화,KIA,0,8,무등
5,,,18:30,두산,삼성,2,4,시민
6,,,18:30,롯데,LG,14,2,잠실
7,,,18:30,SK,현대,3,5,수원
8,,05.03(목),18:30,한화,KIA,10,2,무등
9,,,18:30,두산,삼성,14,8,시민
10,,,18:30,롯데,LG,7,9,잠실
11,,,18:30,SK,현대,1,2,수원
12,,05.04(금),18:30,현대,삼성,8,5,시민
13,,,18:30,KIA,SK,2,8,인천
14,,,18:30,LG,두산,4,11,잠실
15,,,18:30,롯데,한화,9,1,대전
16,,05.05(토),14:00,현대,삼성,6,7,시민
17,,,14:00,KIA,SK,10,7,인천
18,,,14:00,LG,두산,5,16,잠실
19,,,14:00,롯데,한화,13,1,대전
20,,05.06(일),14:00,현대,삼성,6,7,시민
21,,,14:00,KIA,SK,5,4,인천
22,,,14:00,LG,두산,3,3,잠실
23,,,14:00,롯데,한화,2,5,대전
24,,05.08(화),18:30,삼성,KIA,5,11,무등
25,,,18:30,한화,두산,10,7,잠실
26,,,18:30,LG,현대,6,3,수원
27,,05.09(수),15:00,SK,롯데,10,9,마산
28,,,18:30,SK,롯데,4,4,마산
29,,,18:30,삼성,KIA,2,8,무등
30,,,18:30,한화,두산,6,7,잠실
31,,,18:30,LG,현대,4,8,수원
32,,05.10(목),18:30,SK,롯데,1,4,마산
33,,,18:30,삼성,KIA,0,4,무등
34,,,18:30,한화,두산,3,2,잠실
35,,,18:30,LG,현대,2,7,수원
36,,05.11(금),18:30,두산,SK,1,5,인천
37,,,18:30,삼성,LG,8,3,잠실
38,,,18:30,한화,롯데,3,8,사직
39,,,18:30,KIA,현대,1,4,수원
40,,05.12(토),16:50,한화,롯데,10,9,사직
41,,,17:00,두산,SK,2,6,인천
42,,,17:00,삼성,LG,4,1,잠실
43,,,17:00,KIA,현대,7,4,수원
44,,05.13(일),14:00,두산,SK,8,5,인천
45,,,14:00,삼성,LG,9,8,잠실
46,,,14:00,한화,롯데,3,6,사직
47,,,14:00,KIA,현대,3,4,수원
48,,05.15(화),18:30,롯데,삼성,5,12,시민
49,,,18:30,SK,KIA,7,2,무등
50,,,18:30,두산,LG,9,6,잠실
51,,,18:30,현대,한화,6,1,청주
52,,05.16(수),18:30,롯데,삼성,4,7,시민
53,,,18:30,SK,KIA,1,6,무등
54,,,18:30,두산,LG,3,4,잠실
55,,,18:30,현대,한화,8,3,청주
56,,05.17(목),18:30,롯데,삼성,8,4,시민
57,,,18:30,SK,KIA,2,3,무등
58,,,18:30,두산,LG,5,1,잠실
59,,,18:30,현대,한화,8,6,청주
60,,05.18(금),18:30,LG,KIA,4,2,무등
61,,,18:30,롯데,SK,5,4,인천
62,,,18:30,현대,두산,7,4,잠실
63,,,18:30,삼성,한화,7,4,대전
64,,05.19(토),17:00,LG,KIA,9,13,무등
65,,,17:00,롯데,SK,7,5,인천
66,,,17:00,현대,두산,11,8,잠실
67,,,17:00,삼성,한화,12,1,대전
68,,05.20(일),14:00,LG,KIA,3,8,무등
69,,,14:00,롯데,SK,15,11,인천
70,,,14:00,현대,두산,3,8,잠실
71,,,14:00,삼성,한화,2,3,대전
72,,05.22(화),18:30,KIA,롯데,2,8,사직
73,,,18:30,삼성,현대,2,3,수원
74,,05.23(수),15:00,두산,SK,7,9,인천
75,,,15:00,한화,LG,13,5,잠실
76,,,18:30,한화,LG,6,7,잠실
77,,,18:30,KIA,롯데,4,3,사직
78,,,18:30,삼성,현대,5,6,수원
79,,,18:40,두산,SK,6,7,인천
80,,05.24(목),18:30,두산,SK,0,7,인천
81,,,18:30,한화,LG,6,7,잠실
82,,,18:30,KIA,롯데,7,6,사직
83,,,18:30,삼성,현대,7,3,수원
84,,05.25(금),18:30,KIA,삼성,6,7,시민
85,,,18:30,SK,LG,3,4,잠실
86,,,18:30,두산,롯데,8,7,사직
87,,,18:30,한화,현대,12,3,수원
88,,05.26(토),17:00,KIA,삼성,9,12,시민
89,,,17:00,SK,LG,11,4,잠실
90,,,17:00,두산,롯데,3,4,사직
91,,,17:00,한화,현대,4,0,수원
92,,05.27(일),14:00,KIA,삼성,2,3,시민
93,,,14:00,SK,LG,3,11,잠실
94,,,14:00,두산,롯데,9,8,사직
95,,,14:00,한화,현대,3,4,수원
96,,05.29(화),18:30,현대,SK,14,6,인천
97,,,18:30,LG,KIA,6,5,무등
98,,,18:30,삼성,두산,1,5,잠실
99,,,18:30,롯데,한화,3,4,대전
100,,05.30(수),18:30,현대,SK,6,3,인천
101,,,18:30,삼성,두산,2,10,잠실
102,,,18:30,롯데,한화,17,5,대전
103,,05.31(목),15:00,LG,KIA,10,6,무등
104,,,18:30,현대,SK,10,7,인천
105,,,18:30,삼성,두산,6,0,잠실
106,,,18:30,롯데,한화,5,7,대전
107,,,19:00,LG,KIA,3,3,무등
0,2001,06.01(금),18:30,KIA,SK,4,3,인천
1,,,18:30,현대,두산,1,5,잠실
2,,,18:30,삼성,롯데,5,4,사직
3,,,18:30,LG,한화,8,8,청주
4,,06.02(토),18:30,KIA,SK,7,6,인천
5,,,18:30,현대,두산,4,4,잠실
6,,,18:30,삼성,롯데,7,4,사직
7,,,18:30,LG,한화,13,5,청주
8,,06.03(일),14:00,KIA,SK,4,5,인천
9,,,14:00,현대,두산,11,5,잠실
10,,,14:00,삼성,롯데,5,11,사직
11,,,14:00,LG,한화,7,8,청주
12,,06.05(화),18:30,한화,KIA,4,7,무등
13,,,18:30,두산,삼성,1,4,시민
14,,,18:30,SK,LG,8,2,잠실
15,,,18:30,롯데,현대,4,7,수원
16,,06.06(수),14:00,한화,KIA,7,6,무등
17,,,14:00,두산,삼성,2,5,시민
18,,,14:00,SK,LG,2,3,잠실
19,,,14:00,롯데,현대,5,6,수원
20,,06.07(목),18:30,한화,KIA,2,8,무등
21,,,18:30,두산,삼성,2,6,시민
22,,,18:30,SK,LG,5,14,잠실
23,,,18:30,롯데,현대,4,11,수원
24,,06.08(금),18:30,삼성,SK,5,3,인천
25,,,18:30,롯데,LG,6,9,잠실
26,,,18:30,KIA,현대,5,1,수원
27,,,18:30,두산,한화,12,2,대전
28,,06.09(토),18:30,삼성,SK,3,1,인천
29,,,18:30,롯데,LG,1,9,잠실
30,,,18:30,KIA,현대,8,10,수원
31,,,18:30,두산,한화,5,3,대전
32,,06.10(일),14:00,삼성,SK,5,4,인천
33,,,14:00,롯데,LG,8,6,잠실
34,,,14:00,KIA,현대,0,6,수원
35,,,14:00,두산,한화,10,5,대전
36,,06.12(화),18:30,LG,삼성,6,10,시민
37,,,18:30,KIA,두산,8,4,잠실
38,,,18:30,SK,롯데,12,5,사직
39,,,18:30,현대,한화,6,3,대전
40,,06.13(수),18:30,KIA,두산,10,11,잠실
41,,06.14(목),15:00,현대,한화,10,5,대전
42,,,18:20,LG,삼성,4,7,시민
43,,,18:30,KIA,두산,6,5,잠실
44,,,18:40,현대,한화,12,1,대전
45,,06.15(금),18:30,현대,롯데,2,6,마산
46,,,18:30,한화,SK,6,0,인천
47,,,18:30,삼성,KIA,8,5,무등
48,,,18:30,LG,두산,5,1,잠실
49,,06.16(토),18:30,현대,롯데,9,4,마산
50,,,18:30,한화,SK,5,2,인천
51,,,18:30,삼성,KIA,5,0,무등
52,,,18:30,LG,두산,4,7,잠실
53,,06.17(일),14:00,현대,롯데,1,6,마산
54,,,14:00,한화,SK,1,4,인천
55,,,14:00,삼성,KIA,5,8,무등
56,,,14:00,LG,두산,12,4,잠실
57,,06.19(화),18:30,롯데,SK,6,2,인천
58,,,18:30,KIA,LG,3,9,잠실
59,,,18:30,두산,현대,4,10,수원
60,,06.20(수),14:30,한화,삼성,8,2,시민
61,,,17:40,한화,삼성,5,7,시민
62,,,18:30,롯데,SK,1,4,인천
63,,,18:30,두산,현대,8,11,수원
64,,06.21(목),15:00,KIA,LG,1,3,잠실
65,,,18:10,KIA,LG,2,10,잠실
66,,,18:30,한화,삼성,3,2,시민
67,,,18:30,롯데,SK,6,2,인천
68,,,18:30,두산,현대,4,5,수원
69,,06.22(금),15:00,SK,두산,6,9,잠실
70,,,18:30,현대,삼성,1,4,시민
71,,,18:30,LG,롯데,1,11,사직
72,,,18:30,KIA,한화,5,4,대전
73,,06.23(토),18:30,현대,삼성,2,7,시민
74,,,18:30,SK,두산,6,10,잠실
75,,,18:30,KIA,한화,18,10,대전
76,,06.25(월),18:20,현대,삼성,14,2,시민
77,,,18:30,SK,두산,2,4,잠실
78,,,18:30,KIA,한화,8,11,대전
79,,06.26(화),18:30,LG,SK,5,12,인천
80,,,18:30,롯데,두산,2,3,잠실
81,,,18:30,삼성,한화,3,0,대전
82,,06.27(수),15:00,현대,KIA,1,1,무등
83,,,18:00,현대,KIA,1,4,무등
84,,,18:30,LG,SK,2,1,인천
85,,,18:30,삼성,한화,15,6,대전
86,,06.28(목),15:00,롯데,두산,11,11,잠실
87,,,18:30,현대,KIA,4,1,무등
88,,,18:30,LG,SK,4,5,인천
89,,,18:30,삼성,한화,2,0,대전
90,,,18:50,롯데,두산,3,5,잠실
91,,06.30(토),15:00,삼성,LG,1,6,잠실
92,,,15:00,한화,롯데,6,6,사직
93,,,18:20,삼성,LG,9,4,잠실
94,,,18:30,한화,롯데,8,6,사직
0,2001,07.01(일),14:00,삼성,LG,7,8,잠실
1,,,18:30,한화,롯데,2,7,사직
2,,,18:30,SK,현대,3,5,수원
3,,07.02(월),18:30,SK,현대,3,1,수원
4,,07.03(화),18:30,KIA,삼성,3,6,시민
5,,,18:30,두산,롯데,8,4,마산
6,,,18:30,현대,LG,4,1,잠실
7,,,18:30,SK,한화,13,5,청주
8,,07.04(수),18:30,KIA,삼성,4,1,시민
9,,,18:30,두산,롯데,9,6,마산
10,,,18:30,현대,LG,1,2,잠실
11,,,18:30,SK,한화,4,3,청주
12,,07.05(목),18:30,현대,LG,6,6,잠실
13,,,18:30,SK,한화,2,5,청주
14,,07.06(금),18:30,현대,삼성,12,2,시민
15,,,18:30,LG,SK,3,4,인천
16,,,18:30,한화,두산,2,1,잠실
17,,07.07(토),14:50,롯데,KIA,3,9,무등
18,,,18:30,현대,삼성,4,2,시민
19,,,18:30,LG,SK,4,3,인천
20,,,18:30,한화,두산,12,1,잠실
21,,07.08(일),14:00,롯데,KIA,13,6,무등
22,,,17:50,롯데,KIA,5,4,무등
23,,,18:20,현대,삼성,4,2,시민
24,,,18:30,LG,SK,7,0,인천
25,,,18:30,한화,두산,6,11,잠실
26,,07.10(화),18:30,LG,한화,1,1,대전
27,,07.11(수),15:00,KIA,두산,2,2,잠실
28,,,18:20,KIA,두산,6,1,잠실
29,,,18:30,삼성,SK,10,1,인천
30,,,18:30,롯데,현대,2,4,수원
31,,,18:30,LG,한화,4,4,대전
32,,07.12(목),18:30,삼성,SK,2,5,인천
33,,,18:30,KIA,두산,3,1,잠실
34,,,18:30,롯데,현대,5,2,수원
35,,07.13(금),18:30,한화,KIA,8,2,무등
36,,,18:30,SK,롯데,4,2,사직
37,,07.14(토),18:30,SK,롯데,2,0,사직
38,,07.15(일),18:30,SK,롯데,6,12,사직
39,,07.21(토),14:00,현대,KIA,3,2,무등
40,,,18:30,롯데,삼성,4,7,시민
41,,07.22(일),18:20,롯데,삼성,3,4,시민
42,,,18:30,현대,KIA,2,1,무등
43,,07.23(월),18:30,한화,SK,3,4,인천
44,,,18:30,두산,LG,2,1,잠실
45,,07.24(화),18:30,SK,두산,3,5,잠실
46,,,18:30,KIA,롯데,4,7,사직
47,,,18:30,LG,현대,6,9,수원
48,,,18:30,삼성,한화,3,2,대전
49,,07.25(수),18:30,KIA,롯데,2,0,사직
50,,,18:30,LG,현대,11,8,수원
51,,,19:30,SK,두산,10,8,잠실
52,,07.26(목),18:30,KIA,롯데,7,7,사직
53,,,18:30,LG,현대,6,4,수원
54,,,18:30,삼성,한화,13,5,대전
55,,07.27(금),18:30,한화,LG,7,4,잠실
56,,,18:30,두산,롯데,3,7,사직
57,,,18:30,SK,현대,3,7,수원
58,,07.28(토),14:00,두산,롯데,5,11,사직
59,,,18:20,SK,현대,3,7,수원
60,,,18:30,삼성,KIA,8,7,무등
61,,,18:30,한화,LG,3,5,잠실
62,,07.29(일),18:30,삼성,KIA,8,6,무등
63,,,18:30,두산,롯데,8,2,사직
64,,07.31(화),18:30,두산,삼성,4,7,시민
0,2001,08.01(수),18:00,두산,삼성,3,4,시민
1,,08.02(목),18:30,KIA,SK,2,6,인천
2,,,18:30,롯데,LG,3,1,잠실
3,,,18:30,현대,한화,2,9,대전
4,,08.04(토),18:30,LG,SK,2,3,인천
5,,,18:30,한화,두산,4,1,잠실
6,,,18:30,KIA,롯데,0,2,사직
7,,,18:30,삼성,현대,2,7,수원
8,,08.05(일),18:30,LG,SK,2,2,인천
9,,,18:30,한화,두산,1,6,잠실
10,,,18:30,KIA,롯데,3,2,사직
11,,,18:30,삼성,현대,8,4,수원
12,,08.07(화),18:30,SK,KIA,4,7,무등
13,,08.08(수),18:30,한화,롯데,3,1,마산
14,,,18:30,SK,KIA,8,7,무등
15,,,18:30,현대,두산,5,6,잠실
16,,08.09(목),18:30,한화,롯데,11,5,마산
17,,,18:30,LG,삼성,4,8,시민
18,,,18:30,SK,KIA,2,3,무등
19,,,18:30,현대,두산,2,3,잠실
20,,08.10(금),18:30,SK,삼성,1,3,시민
21,,,18:30,KIA,LG,3,6,잠실
22,,,18:30,롯데,현대,7,4,수원
23,,,18:30,두산,한화,11,4,대전
24,,08.11(토),18:30,SK,삼성,2,6,시민
25,,,18:30,KIA,LG,6,18,잠실
26,,,18:30,롯데,현대,3,5,수원
27,,,18:30,두산,한화,1,4,대전
