,batter_name,team,birthday,height,weight,age
0,박정진,한화,1976-05-27,183cm,88kg,44
1,김광수,KIA,1981-05-05,182cm,84kg,39
2,마일영,한화,1981-05-28,177cm,95kg,39
3,정재원,SK,1984-08-11,187cm,84kg,35
4,송창식,한화,1985-03-25,183cm,104kg,35
5,윤근영,KT,1986-05-07,185cm,89kg,34
6,정민혁,한화,1983-09-14,178cm,75kg,36
7,김혁민,한화,1987-05-24,187cm,94kg,33
8,김일엽,한화,1980-02-15,190cm,110kg,40
9,정대훈,한화,1985-03-08,185cm,83kg,35
10,황재규,한화,1986-04-16,175cm,85kg,34
11,이태양,한화,1990-07-03,192cm,97kg,29
12,김경태,한화,1991-02-28,183cm,90kg,29
13,안승민,한화,1991-06-21,182cm,95kg,28
14,김용주,KT,1991-10-23,175cm,73kg,28
15,유창식*,KIA,1992-05-15,186cm,100kg,28
16,박건우,한화,1992-07-01,193cm,80kg,27
17,임기영,KIA,1993-04-16,184cm,75kg,27
18,바티스타,한화,1980-08-23,198cm,86kg,39
19,신경현,한화,1975-11-28,186cm,95kg,44
20,최승환,한화,1978-02-25,185cm,100kg,42
21,박노민,한화,1985-08-18,182cm,93kg,34
22,정범모,NC,1987-03-26,184cm,94kg,33
23,이준수,KT,1988-06-17,176cm,80kg,32
24,김태균,한화,1982-05-29,185cm,110kg,38
25,이대수,SK,1981-08-21,175cm,76kg,38
26,한상훈,한화,1980-06-03,176cm,78kg,40
27,이시찬,한화,1985-02-25,182cm,84kg,35
28,백승룡,Hero,1982-08-16,180cm,80kg,37
29,전현태,KIA,1986-07-09,184cm,87kg,33
30,이여상*,롯데,1984-02-01,183cm,84kg,36
31,임익준,한화,1988-03-15,180cm,83kg,32
32,오선진,한화,1989-07-07,178cm,80kg,30
33,김강석,SK,1985-09-08,177cm,72kg,34
34,장재훈,한화,1988-08-25,185cm,83kg,31
35,윤승열,한화,1993-07-08,180cm,80kg,26
36,하주석,한화,1994-02-25,184cm,84kg,26
37,강동우,,1974-04-20,177cm,78kg,46
38,김경언,한화,1982-12-07,188cm,84kg,37
39,추승우,한화,1979-09-24,187cm,74kg,40
40,임세업,한화,1983-09-01,181cm,82kg,36
41,이양기,한화,1981-01-31,184cm,90kg,39
42,고동진,한화,1980-04-01,183cm,85kg,40
43,최진행*,한화,1985-08-17,188cm,100kg,34
44,오재필,한화,1982-07-27,181cm,83kg,37
45,연경흠,한화,1983-09-14,176cm,78kg,36
46,김태완,Hero,1984-01-27,189cm,105kg,36
47,정현석,한화,1984-03-01,182cm,93kg,36
48,박상규,한화,1989-05-02,183cm,82kg,31
49,임신호,한화,1992-08-08,182cm,82kg,27
50,양성우,한화,1989-05-02,174cm,84kg,31
51,송우석,한화,1993-08-11,177cm,83kg,26
52,송창현,한화,1989-08-17,181cm,100kg,30
53,이상우,한화,1989-10-08,180cm,85kg,30
54,조지훈,한화,1994-04-06,185cm,91kg,26
55,김종수,한화,1994-06-03,180cm,80kg,26
56,이충호,한화,1994-09-20,182cm,81kg,25
57,한승택,KIA,1994-06-21,174cm,83kg,25
58,신석기,KT,1989-03-27,176cm,76kg,31
59,조정원,한화,1990-08-10,176cm,76kg,29
60,장운호,한화,1994-02-20,183cm,85kg,26
61,강철민,한화,1979-07-22,191cm,95kg,40
62,김주,한화,1989-03-02,200cm,96kg,31
63,길태곤,한화,1991-01-08,187cm,100kg,29
64,명재철,한화,1989-01-17,178cm,98kg,31
65,문재현,한화,1992-03-06,193cm,86kg,28
66,김동조,한화,1990-01-28,181cm,75kg,30
67,백승준,한화,1993-06-22,182cm,71kg,26
68,김강래,한화,1994-12-09,187cm,92kg,25
69,엄태용,한화,1994-02-24,183cm,85kg,26
70,권시훈,한화,1993-12-17,181cm,83kg,26
71,신승원,한화,1994-07-29,175cm,80kg,25
72,한윤섭,KT,1985-09-12,183cm,82kg,34
73,이동형,한화,1991-04-20,182cm,78kg,29
74,이태균,한화,1989-01-08,177cm,77kg,31
75,임경훈,한화,1989-08-30,177cm,73kg,30
76,김승현,한화,1994-03-11,178cm,86kg,26
77,박한결,한화,1994-12-24,183cm,76kg,25
78,노수광,SK,1990-08-06,180cm,75kg,29
79,노민성,한화,1993-11-25,185cm,84kg,26
80,안영명,한화,1984-11-19,183cm,90kg,35
81,양훈,Hero,1986-05-29,193cm,99kg,34
82,윤기호,한화,1988-07-28,183cm,90kg,31
83,허유강,한화,1986-11-16,180cm,82kg,33
84,구본범,한화,1987-02-08,191cm,81kg,33
85,전병우,Hero,1992-10-24,182cm,90kg,27
86,박병우,한화,1992-07-23,183cm,77kg,27
87,이희근,KT,1985-06-07,178cm,84kg,35
88,김회성,한화,1985-12-04,190cm,92kg,34
89,김용호,한화,1986-03-29,188cm,96kg,34
90,오준혁,SK,1992-03-11,187cm,80kg,28
91,최향남,KIA,1971-03-28,186cm,90kg,49
92,유동훈,KIA,1977-02-12,183cm,87kg,43
93,이대환,NC,1979-05-28,186cm,92kg,41
94,김진우,KIA,1983-03-07,193cm,95kg,37
95,임준혁,SK,1984-10-09,182cm,96kg,35
96,김성계,NC,1985-05-23,190cm,75kg,35
97,윤석민,KIA,1986-07-24,184cm,85kg,33
98,진해수,LG,1986-06-26,187cm,83kg,33
99,신창호,KIA,1987-03-18,180cm,93kg,33
100,한기주,삼성,1987-04-29,186cm,95kg,33
101,박경태,KIA,1987-09-02,185cm,87kg,32
102,오준형,KIA,1984-07-21,178cm,83kg,35
103,양현종,KIA,1988-03-01,183cm,85kg,32
104,서재응,KIA,1977-05-24,181cm,97kg,43
105,전우엽,KIA,1989-06-20,182cm,84kg,31
106,이정훈,KIA,1991-04-27,183cm,87kg,29
107,심동섭,KIA,1991-09-20,185cm,85kg,28
108,박기철,KIA,1991-08-19,192cm,95kg,28
109,한승혁,KIA,1993-01-03,185cm,88kg,27
110,김종훈,KIA,1989-04-18,186cm,98kg,31
111,박지훈,KIA,1989-09-21,182cm,82kg,30
112,김윤동,KIA,1993-04-01,186cm,86kg,27
113,앤서니,KIA,1982-10-28,193cm,102kg,37
114,소사,SK,1985-07-28,185cm,95kg,34
115,김상훈*,KIA,1977-10-27,180cm,92kg,42
116,강귀태,,1979-08-12,184cm,88kg,40
117,차일목,한화,1981-01-26,176cm,81kg,39
118,이성우,LG,1981-09-01,180cm,83kg,38
119,백용환,KIA,1989-03-20,180cm,84kg,31
120,한성구,KIA,1988-09-14,185cm,85kg,31
121,이범호,KIA,1981-11-25,183cm,93kg,38
122,박기남,KIA,1981-08-14,175cm,80kg,38
123,김주형,KIA,1985-12-15,186cm,100kg,34
124,최희섭,KIA,1979-03-16,196cm,99kg,41
125,김선빈,KIA,1989-12-18,165cm,70kg,30
126,안치홍,롯데,1990-07-02,178cm,80kg,29
127,홍재호,KIA,1987-05-10,179cm,77kg,33
128,윤해진,KIA,1989-02-25,178cm,84kg,31
129,황정립,KIA,1989-12-14,182cm,85kg,30
130,김상현,KT,1980-11-12,190cm,95kg,39
131,김주찬,KIA,1981-03-25,183cm,86kg,39
132,김원섭,KIA,1978-12-18,180cm,75kg,41
133,신종길,KIA,1983-12-31,183cm,85kg,36
134,이용규,한화,1985-08-26,175cm,70kg,34
135,최훈락,KIA,1982-05-12,189cm,82kg,38
136,류은재,KIA,1983-12-13,181cm,80kg,36
137,이호신,KIA,1984-05-19,176cm,72kg,36
138,나지완,KIA,1985-05-19,182cm,95kg,35
139,이종환,한화,1986-05-08,175cm,90kg,34
140,이준호,KIA,1987-09-07,183cm,86kg,32
141,이경록,KIA,1989-01-18,184cm,95kg,31
142,고영창,KIA,1989-02-24,189cm,92kg,31
143,임준섭,한화,1989-07-16,181cm,88kg,30
144,손동욱,Hero,1989-08-06,184cm,91kg,30
145,이효상,KIA,1990-01-22,186cm,88kg,30
146,박준표,KIA,1992-06-26,181cm,83kg,27
147,이홍구,SK,1990-12-11,180cm,95kg,29
148,고장혁,KIA,1990-01-08,183cm,80kg,30
149,박효일,KIA,1990-04-18,180cm,80kg,30
150,박찬,KIA,1990-08-08,182cm,83kg,29
151,윤민섭,KIA,1990-09-30,180cm,82kg,29
152,최준식,KIA,1994-05-19,183cm,74kg,26
153,이범석,KIA,1985-12-29,180cm,74kg,34
154,이왕기,KIA,1986-05-28,177cm,82kg,34
155,김승현,KIA,1987-03-11,186cm,85kg,33
