,name,year,team,position,birth,height,weight,age,war,g,ts,ab,r1,h,b2,b3,hr,tb,rbi,sb,cs,bb,hbp,bb4,so,gdp,ht,hb,avg,obp,slg,ops
0,테임즈,2015,NC,1B,1986-11-10,183,95,30,10.71,142,595,472,130,180,42,5,47,373,140,40,8,103,13,11,91,7,0,7,0.381,0.498,0.79,1.288
1,테임즈,2014,NC,1B,1986-11-10,183,95,29,6.32,125,514,443,95,152,30,6,37,305,121,11,2,58,7,5,99,6,0,6,0.343,0.422,0.688,1.111
2,테임즈,2016,NC,1B,1986-11-10,183,95,31,5.97,123,529,436,118,140,30,3,40,296,121,13,4,74,12,6,103,2,0,7,0.321,0.4270000000000001,0.679,1.106
3,이승엽,2002,삼성,1B,1976-08-18,183,87,27,8.96,133,617,511,123,165,42,2,47,352,126,1,2,89,15,5,109,11,0,2,0.32299999999999995,0.436,0.6890000000000001,1.125
4,이승엽,1999,삼성,1B,1976-08-18,183,87,24,8.91,132,614,486,128,157,33,2,54,356,123,10,2,112,12,6,114,7,0,4,0.32299999999999995,0.458,0.733,1.19
5,이승엽,2003,삼성,1B,1976-08-18,183,87,28,8.39,131,596,479,115,144,23,0,56,335,144,7,0,101,10,9,89,11,0,6,0.301,0.428,0.6990000000000001,1.127
6,이승엽,1997,삼성,1B,1976-08-18,183,87,22,6.78,126,577,517,96,170,37,3,32,309,114,5,2,49,6,4,79,10,1,4,0.329,0.391,0.598,0.988
7,이승엽,1998,삼성,1B,1976-08-18,183,87,23,6.73,126,568,477,100,146,32,2,38,296,102,0,2,78,5,10,97,4,1,7,0.306,0.404,0.621,1.024
8,이승엽,2001,삼성,1B,1976-08-18,183,87,26,5.52,127,574,463,101,128,31,2,39,280,95,4,2,96,12,11,130,6,1,2,0.276,0.412,0.605,1.017
9,이승엽,2012,삼성,1B,1976-08-18,183,87,37,5.47,126,556,488,84,150,28,2,21,245,85,6,0,59,4,4,101,10,1,4,0.307,0.384,0.502,0.8859999999999999
10,이승엽,2000,삼성,1B,1976-08-18,183,87,25,5.18,125,544,454,108,133,33,0,36,274,95,4,5,80,7,7,113,5,0,3,0.293,0.404,0.604,1.008
11,이승엽,1996,삼성,1B,1976-08-18,183,87,21,3.65,122,504,459,57,139,32,6,9,210,76,4,1,34,5,4,42,10,1,5,0.303,0.354,0.458,0.8109999999999999
12,이승엽,2015,삼성,DH,1976-08-18,183,87,40,3.14,122,522,470,87,156,28,1,26,264,90,2,1,40,6,2,71,10,0,6,0.332,0.387,0.562,0.949
13,이승엽,1995,삼성,1B,1976-08-18,183,87,20,2.77,121,411,365,55,104,29,1,13,174,73,0,3,33,4,1,54,4,2,7,0.285,0.345,0.477,0.8220000000000001
14,이승엽,2016,삼성,DH,1976-08-18,183,87,41,2.62,142,623,542,91,164,32,2,27,281,118,5,2,65,8,1,89,7,0,8,0.303,0.38,0.518,0.899
15,이승엽,2014,삼성,DH,1976-08-18,183,87,39,2.42,127,548,506,83,156,30,0,32,282,101,5,1,40,0,3,77,10,0,2,0.308,0.358,0.557,0.915
16,이승엽,2017,삼성,DH,1976-08-18,183,87,42,1.16,135,533,472,65,132,30,5,24,244,87,1,1,47,6,6,85,7,0,8,0.28,0.34700000000000003,0.517,0.8640000000000001
17,이승엽,2013,삼성,1B,1976-08-18,183,87,38,0.37,111,483,443,62,112,24,0,13,175,69,3,1,30,2,2,94,8,0,8,0.253,0.298,0.395,0.693
18,이대호,2010,롯데,3B,1982-06-21,194,130,29,8.82,127,552,478,99,174,13,0,44,319,133,0,2,61,10,6,77,15,0,3,0.364,0.444,0.667,1.111
19,이대호,2007,롯데,1B,1982-06-21,194,130,26,7.0,121,514,415,79,139,21,1,29,249,87,1,0,81,13,25,55,9,0,5,0.335,0.453,0.6,1.053
