,name,year,team,position,war,g,ts,ab,r1,h,b2,b3,hr,tb,rbi,sb,cs,bb,hbp,bb4,so,gdp,ht,hb,avg,obp,slg,ops,birthday,height,weight,age
0,이종범,1994,해태,SS,11.77,124,561,499,113,196,27,5,19,290,77,84,15,51,6,14,31,2,1,4,0.39299999999999996,0.452,0.581,1.033,1970-08-15,178cm,73kg,23
1,이종범,1997,해태,SS,9.7,125,577,484,112,157,28,3,30,281,74,64,15,87,3,30,49,9,0,3,0.324,0.428,0.581,1.0090000000000001,1970-08-15,178cm,73kg,26
2,이종범,1996,해태,SS,9.52,113,525,449,94,149,28,1,25,254,76,57,12,67,7,15,39,4,0,2,0.332,0.425,0.5660000000000001,0.991,1970-08-15,178cm,73kg,25
3,이종범,2003,KIA,CF,7.11,132,595,524,110,165,43,1,20,270,61,50,10,59,7,5,58,8,1,4,0.315,0.389,0.515,0.904,1970-08-15,178cm,73kg,32
4,이종범,1993,해태,SS,6.14,126,525,475,85,133,16,4,16,205,53,73,19,32,6,2,35,11,8,4,0.28,0.331,0.43200000000000005,0.762,1970-08-15,178cm,73kg,22
5,이종범,2002,KIA,CF,5.24,123,546,485,93,142,25,2,18,225,59,35,5,43,13,5,63,7,4,1,0.293,0.365,0.46399999999999997,0.8290000000000001,1970-08-15,178cm,73kg,31
6,이종범,1995,해태,SS,5.03,63,272,239,51,78,10,2,16,140,35,32,3,28,2,4,20,5,0,3,0.326,0.397,0.586,0.983,1970-08-15,178cm,73kg,24
7,이종범,2005,KIA,CF,4.79,118,495,430,69,134,25,2,6,181,36,28,5,47,11,2,49,8,7,0,0.312,0.39299999999999996,0.42100000000000004,0.8140000000000001,1970-08-15,178cm,73kg,34
8,이종범,2004,KIA,CF,4.27,133,577,493,100,128,29,0,17,208,52,42,7,53,17,1,50,9,12,2,0.26,0.35,0.42200000000000004,0.772,1970-08-15,178cm,73kg,33
9,이종범,2001,해태,3B,2.54,45,214,188,45,64,14,1,11,113,37,7,5,20,1,0,16,5,2,3,0.34,0.401,0.601,1.002,1970-08-15,178cm,73kg,30
10,이종범,2008,KIA,RF,1.45,110,362,317,38,90,19,4,1,120,38,9,3,32,1,0,26,11,9,3,0.284,0.348,0.379,0.727,1970-08-15,178cm,73kg,37
11,이종범,2009,KIA,RF,0.86,123,449,385,63,105,21,1,6,146,40,11,1,41,5,1,50,9,12,6,0.273,0.34600000000000003,0.379,0.725,1970-08-15,178cm,73kg,38
12,이종범,2006,KIA,CF,0.79,93,379,339,41,82,18,1,1,105,21,10,7,24,5,2,43,3,11,0,0.242,0.302,0.31,0.611,1970-08-15,178cm,73kg,35
13,이종범,2011,KIA,RF,0.69,97,273,235,27,65,15,1,3,91,24,3,2,22,1,1,35,6,12,3,0.27699999999999997,0.337,0.387,0.7240000000000001,1970-08-15,178cm,73kg,40
14,이종범,2010,KIA,RF,-0.1,97,289,265,36,65,16,1,4,95,29,2,2,15,3,0,33,5,6,0,0.245,0.293,0.358,0.652,1970-08-15,178cm,73kg,39
15,이종범,2007,KIA,RF,-2.04,84,282,253,23,44,6,0,1,53,18,3,2,13,2,0,25,6,10,4,0.174,0.217,0.209,0.426,1970-08-15,178cm,73kg,36
