,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2017년 03월 31일,33,27,4,3,1,0,0,3,3,2,2,8,3,0,2,0,1,53,잠실
2017년 03월 31일,34,30,5,2,2,1,0,1,1,4,0,6,0,0,0,2,1,-36,고척
2017년 03월 31일,36,33,8,7,1,0,0,2,2,0,1,8,1,0,1,1,1,11,인천
2017년 03월 31일,33,31,7,4,1,0,2,2,2,1,0,7,0,0,1,1,1,63,대구
2017년 03월 31일,38,32,11,5,5,0,1,6,6,4,2,9,2,2,0,0,2,223,마산
2017년 04월 01일,49,42,9,8,0,0,1,5,4,6,0,7,1,0,1,0,0,89,잠실
2017년 04월 01일,40,37,12,9,3,0,0,3,3,2,1,9,1,0,0,1,0,78,고척
2017년 04월 01일,32,32,7,7,0,0,0,0,0,0,0,5,0,1,0,1,0,-58,인천
2017년 04월 01일,47,39,10,8,1,0,1,7,6,4,3,8,1,0,1,0,0,157,대구
2017년 04월 01일,38,35,7,7,0,0,0,0,0,3,0,9,0,0,0,0,1,-72,마산
2017년 04월 02일,46,40,8,6,0,0,2,5,4,5,0,7,0,0,1,2,1,107,잠실
2017년 04월 02일,33,28,3,2,1,0,0,2,1,4,0,6,1,1,1,0,1,-34,고척
2017년 04월 02일,28,28,3,2,0,0,1,1,1,0,0,4,0,0,0,2,1,-54,인천
2017년 04월 02일,48,40,17,12,2,1,2,16,15,4,2,6,1,0,2,1,1,478,대구
2017년 04월 02일,36,31,4,3,0,1,0,4,4,4,1,10,2,0,0,1,0,14,마산
2017년 04월 04일,44,41,16,14,2,0,0,11,11,2,1,5,2,0,0,0,1,279,잠실
2017년 04월 04일,32,30,3,3,0,0,0,0,0,2,0,7,0,0,0,0,0,-109,수원
2017년 04월 04일,37,31,10,6,3,0,1,6,6,2,2,5,0,1,2,2,1,192,대전
2017년 04월 04일,34,29,6,3,3,0,0,6,5,3,2,4,1,0,0,1,0,124,광주
2017년 04월 04일,31,31,9,6,1,0,2,5,5,0,0,7,1,1,0,1,0,161,사직
2017년 04월 05일,,,,,,,,,,,,,,,,,,,잠실
2017년 04월 05일,,,,,,,,,,,,,,,,,,,수원
2017년 04월 05일,,,,,,,,,,,,,,,,,,,대전
2017년 04월 05일,,,,,,,,,,,,,,,,,,,광주
2017년 04월 05일,,,,,,,,,,,,,,,,,,,사직
2017년 04월 06일,34,29,8,6,0,1,1,4,4,3,0,6,0,1,2,0,0,139,잠실
2017년 04월 06일,38,28,8,5,2,0,1,5,5,8,0,10,1,0,2,1,0,178,수원
2017년 04월 06일,37,34,8,6,1,0,1,2,2,1,2,7,0,0,0,2,1,27,대전
2017년 04월 06일,38,32,10,8,2,0,0,6,6,5,1,10,3,1,0,1,0,154,광주
2017년 04월 06일,41,37,17,11,3,1,2,12,12,1,0,7,0,1,3,0,0,421,사직
2017년 04월 07일,40,36,9,8,1,0,0,3,3,3,1,6,0,0,0,0,0,26,잠실
2017년 04월 07일,35,32,6,5,0,0,1,3,3,2,1,9,1,0,0,1,0,21,인천
2017년 04월 07일,36,29,7,7,0,0,0,3,3,4,0,7,1,0,3,1,1,64,수원
