,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2018년 03월 24일,43,37,13,9,4,0,0,6,6,4,1,9,0,0,1,0,1,168,잠실
2018년 03월 24일,38,37,13,12,0,1,0,3,2,1,0,9,1,0,0,0,1,44,고척
2018년 03월 24일,39,33,7,5,2,0,0,5,3,6,0,12,2,0,0,0,2,25,인천
2018년 03월 24일,38,37,11,7,1,0,3,5,5,1,0,9,0,0,0,0,0,198,광주
2018년 03월 24일,32,30,7,6,0,0,1,2,2,1,0,9,1,0,1,1,0,30,마산
2018년 03월 25일,33,31,6,5,0,0,1,4,4,1,0,4,0,1,1,0,1,43,잠실
2018년 03월 25일,39,36,11,7,3,0,1,4,4,1,2,9,2,1,0,1,0,159,고척
2018년 03월 25일,33,32,5,4,1,0,0,0,0,1,0,9,0,0,0,1,0,-89,인천
2018년 03월 25일,33,33,7,5,1,0,1,1,1,0,0,8,0,0,0,1,0,-9,광주
2018년 03월 25일,35,30,3,2,0,0,1,1,1,4,1,7,0,0,0,0,3,-59,마산
2018년 03월 27일,31,29,3,3,0,0,0,0,0,2,0,11,0,0,0,1,0,-121,잠실
2018년 03월 27일,43,38,10,7,3,0,0,4,4,4,0,10,0,0,1,0,1,63,고척
2018년 03월 27일,36,34,8,5,1,0,2,5,4,2,0,6,1,1,0,0,2,100,인천
2018년 03월 27일,34,32,6,5,1,0,0,0,0,2,0,5,0,0,0,1,0,-48,광주
2018년 03월 27일,41,34,10,8,0,0,2,6,6,5,2,6,0,0,0,2,1,171,마산
2018년 03월 28일,42,36,10,5,4,1,0,5,5,4,1,9,0,0,1,1,2,103,잠실
2018년 03월 28일,43,39,13,8,3,0,2,9,9,3,0,5,0,1,1,0,0,293,고척
2018년 03월 28일,45,41,15,9,4,0,2,8,8,4,0,10,2,0,0,1,1,293,인천
2018년 03월 28일,41,39,14,13,0,0,1,6,6,2,0,7,2,0,0,2,0,186,광주
2018년 03월 28일,41,37,10,8,1,0,1,6,6,4,0,5,3,0,0,0,0,186,마산
2018년 03월 29일,36,32,4,3,0,0,1,1,1,4,0,8,0,0,0,0,1,-41,잠실
2018년 03월 29일,42,35,11,9,2,0,0,4,4,6,0,6,0,0,1,3,0,102,고척
2018년 03월 29일,39,37,12,7,1,0,4,7,7,2,0,11,1,0,0,1,0,284,인천
2018년 03월 29일,34,28,3,3,0,0,0,0,0,6,0,9,1,1,0,1,0,-76,광주
2018년 03월 29일,35,33,6,4,2,0,0,1,1,2,0,4,0,0,0,1,2,-27,마산
2018년 03월 30일,38,35,10,6,4,0,0,4,3,3,0,10,4,1,0,1,1,116,잠실
2018년 03월 30일,43,36,11,6,3,1,1,6,6,5,0,7,3,0,2,0,0,263,수원
2018년 03월 30일,39,33,6,4,0,0,2,8,7,6,0,15,0,0,0,0,0,129,대전
2018년 03월 30일,62,51,19,16,1,0,2,10,10,6,2,15,2,1,3,0,2,330,대구
2018년 03월 30일,39,37,10,7,2,0,1,7,7,2,0,4,0,0,0,1,1,164,사직
2018년 03월 31일,35,31,6,3,2,1,0,4,4,3,0,4,0,0,1,1,1,50,잠실
2018년 03월 31일,42,38,13,9,1,2,1,8,8,2,1,9,0,0,1,1,2,200,수원
2018년 03월 31일,45,38,13,8,2,0,3,12,11,5,2,7,0,0,0,3,0,370,대전
2018년 03월 31일,41,33,9,3,5,0,1,4,4,4,2,10,0,0,2,1,0,166,대구
2018년 03월 31일,45,39,14,10,2,1,1,10,10,5,1,4,0,0,0,0,0,325,사직
2018년 04월 01일,39,33,9,7,0,0,2,5,5,4,1,2,0,1,1,1,0,179,잠실
2018년 04월 01일,40,34,10,8,0,1,1,4,4,3,0,10,1,0,3,0,0,138,수원
2018년 04월 01일,49,42,15,6,3,0,6,13,13,6,0,5,1,0,1,0,0,569,대전
2018년 04월 01일,42,35,9,6,1,0,2,5,5,5,1,6,3,1,1,0,0,200,대구
2018년 04월 01일,36,33,7,6,1,0,0,2,2,2,0,6,1,0,1,0,1,6,사직
2018년 04월 03일,55,44,16,13,1,0,2,4,4,7,1,11,1,1,3,1,1,216,잠실
