지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),지면온도(°C)
108,서울,2017-04-01 01:00,5.1,,1.3,340,77,3.9
108,서울,2017-04-01 02:00,5.7,,.8,360,74,4.9
108,서울,2017-04-01 03:00,5.7,,.6,340,77,3.1
108,서울,2017-04-01 04:00,5.5,,.5,360,78,4.2
108,서울,2017-04-01 05:00,5.6,,1,270,80,5
108,서울,2017-04-01 06:00,5.6,,.4,0,79,5
108,서울,2017-04-01 07:00,5.4,,1.9,50,78,3.8
108,서울,2017-04-01 08:00,6.6,,1.7,20,71,8.7
108,서울,2017-04-01 09:00,8.7,,.6,70,61,15.3
108,서울,2017-04-01 10:00,9.3,,2.3,270,60,14.8
108,서울,2017-04-01 11:00,9.9,,2,340,57,17.8
108,서울,2017-04-01 12:00,11.7,,4.4,270,51,26.8
108,서울,2017-04-01 13:00,12.9,,2.8,320,39,32.2
108,서울,2017-04-01 14:00,13.2,,4.6,270,34,32.3
108,서울,2017-04-01 15:00,14.8,,3.8,270,29,34.4
108,서울,2017-04-01 16:00,9.5,1,1.4,340,68,14.5
108,서울,2017-04-01 17:00,12.1,0,.9,180,46,16.9
108,서울,2017-04-01 18:00,11.7,,2.6,250,51,10.6
108,서울,2017-04-01 19:00,10.2,,2.3,270,47,7.7
108,서울,2017-04-01 20:00,9.2,,2.3,250,48,6.6
108,서울,2017-04-01 21:00,8.4,,3.5,50,60,5.6
108,서울,2017-04-01 22:00,7.3,,3.3,70,66,4.3
108,서울,2017-04-01 23:00,5.9,,2,50,74,3.2
108,서울,2017-04-02 00:00,5.3,,2.3,50,76,3.2
108,서울,2017-04-02 01:00,4.9,,1,360,78,1.9
108,서울,2017-04-02 02:00,4.6,,.3,0,76,.8
108,서울,2017-04-02 03:00,4.2,,1.1,270,77,.4
108,서울,2017-04-02 04:00,4,,.3,0,78,.2
108,서울,2017-04-02 05:00,3.3,,1.2,50,83,-.2
108,서울,2017-04-02 06:00,3.1,,.4,0,83,-.3
108,서울,2017-04-02 07:00,3.2,,.4,0,83,.5
108,서울,2017-04-02 08:00,4.9,,2,50,74,7.1
108,서울,2017-04-02 09:00,7.7,,.5,70,65,14.2
108,서울,2017-04-02 10:00,10.1,,1.5,160,59,21.1
108,서울,2017-04-02 11:00,12.3,,2,230,41,27.3
108,서울,2017-04-02 12:00,13.5,,3.2,270,32,32.7
108,서울,2017-04-02 13:00,14.2,,3.1,290,27,34.2
108,서울,2017-04-02 14:00,15,,5,250,29,35
108,서울,2017-04-02 15:00,15.1,,4.2,250,26,32.2
108,서울,2017-04-02 16:00,15.5,,3.8,230,26,27.3
108,서울,2017-04-02 17:00,14.2,,3.6,230,33,20.4
108,서울,2017-04-02 18:00,12.7,,3.5,230,34,13.8
108,서울,2017-04-02 19:00,10.7,,3.8,250,38,9.5
108,서울,2017-04-02 20:00,9.5,,2.2,250,46,7.2
108,서울,2017-04-02 21:00,8.6,,1.7,250,52,5.6
108,서울,2017-04-02 22:00,8.1,,2.7,250,54,5
108,서울,2017-04-02 23:00,7.5,,1.2,250,56,3.6
108,서울,2017-04-03 00:00,7.1,,1.8,200,56,3
108,서울,2017-04-03 01:00,6.4,,.9,270,58,2.1
108,서울,2017-04-03 02:00,6,,1.6,250,57,1.5
108,서울,2017-04-03 03:00,5.5,,.6,230,56,.7
108,서울,2017-04-03 04:00,5,,.3,0,59,.1
108,서울,2017-04-03 05:00,4.9,,1.5,200,67,.3
108,서울,2017-04-03 06:00,4.4,,.6,200,71,-.4
108,서울,2017-04-03 07:00,4.5,,.1,0,73,1.3
108,서울,2017-04-03 08:00,6.4,,.6,20,62,8.1
108,서울,2017-04-03 09:00,9.2,,1.9,180,55,16.4
108,서울,2017-04-03 10:00,11.7,,2,200,47,25
108,서울,2017-04-03 11:00,13.8,,2.8,200,42,31.5
108,서울,2017-04-03 12:00,15.7,,3.3,180,37,36.8
108,서울,2017-04-03 13:00,17.5,,3.5,230,30,39.2
108,서울,2017-04-03 14:00,18.5,,4.1,230,24,38.7
108,서울,2017-04-03 15:00,19,,3.2,230,22,36.8
108,서울,2017-04-03 16:00,18.2,,4.6,200,28,30.9
108,서울,2017-04-03 17:00,18,,2.8,230,29,25.3
108,서울,2017-04-03 18:00,16.2,,3.5,250,31,16.1
108,서울,2017-04-03 19:00,14,,2.9,250,35,11.7
108,서울,2017-04-03 20:00,12.8,,2.8,250,34,9.5
108,서울,2017-04-03 21:00,11.7,,1.6,250,41,7.9
108,서울,2017-04-03 22:00,10.9,,1.6,270,45,6.8
108,서울,2017-04-03 23:00,10,,.5,250,50,5.2
108,서울,2017-04-04 00:00,9.5,,.5,290,52,4.5
108,서울,2017-04-04 01:00,8.9,,.9,250,52,3.7
108,서울,2017-04-04 02:00,8.5,,1.1,70,54,3.4
108,서울,2017-04-04 03:00,8,,1.5,20,53,2.6
108,서울,2017-04-04 04:00,7.4,,1.8,20,57,2.2
108,서울,2017-04-04 05:00,7.2,,.6,20,55,1.7
108,서울,2017-04-04 06:00,7,,1,20,57,1.4
108,서울,2017-04-04 07:00,6.7,,2.1,20,58,3.3
108,서울,2017-04-04 08:00,8.8,,1.8,70,44,10.2
108,서울,2017-04-04 09:00,11.7,,1,50,34,18.9
108,서울,2017-04-04 10:00,15.1,,1.6,140,27,26.9
108,서울,2017-04-04 11:00,16.9,,1.2,140,29,33.8
108,서울,2017-04-04 12:00,19,,1.9,200,28,38.6
108,서울,2017-04-04 13:00,20.4,,2,230,25,38.2
108,서울,2017-04-04 14:00,21.3,,3.8,250,21,40.7
108,서울,2017-04-04 15:00,21.4,,3.8,230,21,36.7
108,서울,2017-04-04 16:00,20.8,,3.2,270,22,32.5
108,서울,2017-04-04 17:00,19.5,,3.7,270,23,25.9
108,서울,2017-04-04 18:00,17.7,,4.1,270,25,17.3
108,서울,2017-04-04 19:00,15.6,,3.2,250,30,14
108,서울,2017-04-04 20:00,14.7,,1.6,290,31,12.6
108,서울,2017-04-04 21:00,14.3,,1.7,290,35,11.9
108,서울,2017-04-04 22:00,14,,1.6,340,33,11.4
108,서울,2017-04-04 23:00,13.6,,1.5,180,29,10.7
108,서울,2017-04-05 00:00,13.3,,.8,270,29,10.1
108,서울,2017-04-05 01:00,13.2,,2.4,250,29,10
108,서울,2017-04-05 02:00,12.8,,2,250,38,9.9
108,서울,2017-04-05 03:00,12.3,,1.5,250,36,9.4
108,서울,2017-04-05 04:00,11.9,,.6,340,41,9.2
108,서울,2017-04-05 05:00,11.5,,.5,50,43,9.1
108,서울,2017-04-05 06:00,11.4,0,.8,360,35,9.4
108,서울,2017-04-05 07:00,11.6,0,2,50,37,10
108,서울,2017-04-05 08:00,11.9,0,.8,360,45,10.7
108,서울,2017-04-05 09:00,11.9,.2,2.4,50,54,11.5
108,서울,2017-04-05 10:00,12.5,,3.6,70,42,12.5
108,서울,2017-04-05 11:00,13.1,0,3.1,70,48,14.7
108,서울,2017-04-05 12:00,14,.1,2.8,90,42,15
108,서울,2017-04-05 13:00,14.1,.1,3.2,110,50,15.4
108,서울,2017-04-05 14:00,13.4,.1,3.7,90,62,13.1
108,서울,2017-04-05 15:00,12.4,2,3.8,90,75,12
108,서울,2017-04-05 16:00,11.2,4.5,4.2,50,90,11.4
108,서울,2017-04-05 17:00,10.8,4.5,4.4,70,91,11.2
108,서울,2017-04-05 18:00,10.8,2.5,3.9,70,92,11.1
108,서울,2017-04-05 19:00,10.8,4,3,50,94,10.8
108,서울,2017-04-05 20:00,10.8,2,4.2,70,94,10.8
108,서울,2017-04-05 21:00,11,2.5,2.9,50,95,10.9
108,서울,2017-04-05 22:00,11.4,3,1.8,20,98,11.2
108,서울,2017-04-05 23:00,11.7,6,.9,360,98,11.4
108,서울,2017-04-06 00:00,12.4,6,2.4,230,99,11.8
108,서울,2017-04-06 01:00,12.1,2,3.3,230,98,11.8
108,서울,2017-04-06 02:00,11.7,0,3.9,200,98,11.6
108,서울,2017-04-06 03:00,11,.5,3.4,230,98,11.2
108,서울,2017-04-06 04:00,10.8,0,3.3,200,98,11
108,서울,2017-04-06 05:00,10.7,0,2.5,200,99,10.9
108,서울,2017-04-06 06:00,10.5,0,2.9,230,99,10.8
108,서울,2017-04-06 07:00,10,.5,3.5,230,99,10.5
108,서울,2017-04-06 08:00,9.7,0,3,230,99,10.7
108,서울,2017-04-06 09:00,9.5,0,2.7,200,99,11.5
108,서울,2017-04-06 10:00,9.6,0,3.3,200,99,12.7
108,서울,2017-04-06 11:00,10.2,,2.8,200,91,13.2
108,서울,2017-04-06 12:00,10.3,,1.4,250,89,12.6
108,서울,2017-04-06 13:00,11.2,,2.7,230,80,17.9
108,서울,2017-04-06 14:00,12,,1.9,230,76,16.9
108,서울,2017-04-06 15:00,11.6,,3.2,200,80,14.8
108,서울,2017-04-06 16:00,11.4,,2.3,250,79,13.7
108,서울,2017-04-06 17:00,10.6,0,3.3,270,83,12.3
108,서울,2017-04-06 18:00,10.6,0,.8,230,84,12.4
108,서울,2017-04-06 19:00,10.4,,1.7,270,84,11
108,서울,2017-04-06 20:00,10.2,,.5,270,84,10.6
108,서울,2017-04-06 21:00,10.1,,1.7,270,86,10.2
108,서울,2017-04-06 22:00,10,,2.1,270,86,10
108,서울,2017-04-06 23:00,9.9,,1.4,270,86,9.8
108,서울,2017-04-07 00:00,9.9,,1.3,270,85,9.8
108,서울,2017-04-07 01:00,9.7,,2.6,250,86,9.6
108,서울,2017-04-07 02:00,9.4,,.9,250,87,9.3
108,서울,2017-04-07 03:00,9.2,,1.8,250,88,9.1
108,서울,2017-04-07 04:00,9,,1.9,270,90,9.1
108,서울,2017-04-07 05:00,9,,2.1,250,90,9.1
108,서울,2017-04-07 06:00,9,,2.6,270,90,9
108,서울,2017-04-07 07:00,9.2,,.8,90,90,9.5
108,서울,2017-04-07 08:00,9.8,,.3,0,83,11.9
108,서울,2017-04-07 09:00,11.5,,2.7,50,75,14.2
108,서울,2017-04-07 10:00,14.5,,2.2,90,61,20.7
108,서울,2017-04-07 11:00,16.2,,2.9,70,57,25.5
108,서울,2017-04-07 12:00,17.7,,2.4,20,50,29.7
108,서울,2017-04-07 13:00,19.1,,1.7,290,44,31.7
108,서울,2017-04-07 14:00,21.3,,1.3,290,36,32.7
108,서울,2017-04-07 15:00,22.8,,1.1,110,37,31.3
108,서울,2017-04-07 16:00,23,,2.5,200,40,28.2
108,서울,2017-04-07 17:00,20.9,,4.2,270,51,23.1
108,서울,2017-04-07 18:00,19.4,,3.1,250,55,17.9
108,서울,2017-04-07 19:00,16.9,,3.5,270,64,14.6
108,서울,2017-04-07 20:00,15.2,,1.3,230,68,12.7
108,서울,2017-04-07 21:00,14.3,,1.7,230,72,11.6
108,서울,2017-04-07 22:00,13.3,,1.4,230,76,10.8
108,서울,2017-04-07 23:00,12.8,,1.8,200,79,10.3
108,서울,2017-04-08 00:00,12.3,,1.2,270,78,9.6
108,서울,2017-04-08 01:00,11.9,,1.8,250,78,9.1
108,서울,2017-04-08 02:00,11.3,,2,250,78,8.7
