지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%)
98,동두천,2017-03-31 11:00,9.5,,1.8,20,76
98,동두천,2017-03-31 12:00,8.2,0,1.5,360,72
98,동두천,2017-03-31 13:00,6.3,,1.8,50,77
98,동두천,2017-03-31 14:00,5.9,,1.7,360,78
98,동두천,2017-03-31 15:00,5.8,10.2,1.5,50,78
98,동두천,2017-03-31 16:00,7.6,,.9,20,83
98,동두천,2017-03-31 17:00,8.2,,.9,360,77
98,동두천,2017-03-31 18:00,7.5,.5,1,70,76
98,동두천,2017-03-31 19:00,7,,1.3,90,74
98,동두천,2017-03-31 20:00,6.5,,0,0,76
98,동두천,2017-03-31 21:00,5.7,,.3,0,82
99,파주,2017-03-31 11:00,8.8,,3.6,50,77
99,파주,2017-03-31 12:00,5.7,.3,3,20,89
99,파주,2017-03-31 13:00,5.5,,2.6,20,91
99,파주,2017-03-31 14:00,5.4,,3.2,50,93
99,파주,2017-03-31 15:00,6.7,3.3,4.6,50,91
99,파주,2017-03-31 16:00,7.2,,3.3,50,87
99,파주,2017-03-31 17:00,7.5,,2.3,20,84
99,파주,2017-03-31 18:00,7.3,,1.8,20,80
99,파주,2017-03-31 19:00,6,,0,0,88
99,파주,2017-03-31 20:00,4.8,,0,0,91
99,파주,2017-03-31 21:00,3.4,,0,0,92
102,백령도,2017-03-31 11:00,8.4,,2.2,20,76
102,백령도,2017-03-31 12:00,7.8,,2.7,320,76
102,백령도,2017-03-31 13:00,8.5,,1.7,360,71
102,백령도,2017-03-31 14:00,8.4,,3,320,73
102,백령도,2017-03-31 15:00,8.3,,3.2,320,73
102,백령도,2017-03-31 16:00,8.5,,3.2,320,70
102,백령도,2017-03-31 17:00,7.1,,1.4,20,77
102,백령도,2017-03-31 18:00,7.7,,3.2,360,65
102,백령도,2017-03-31 19:00,6.3,,4,290,71
102,백령도,2017-03-31 20:00,5.8,,3.3,320,67
102,백령도,2017-03-31 21:00,5.6,,3.1,320,64
108,서울,2017-03-31 11:00,12.3,,1.7,270,53
108,서울,2017-03-31 12:00,12,0,1.6,270,53
108,서울,2017-03-31 13:00,9.8,,2.3,290,86
108,서울,2017-03-31 14:00,9.2,,2.3,320,87
108,서울,2017-03-31 15:00,8.3,1.3,4.6,70,89
108,서울,2017-03-31 16:00,8,,4.3,50,85
108,서울,2017-03-31 17:00,7.6,,2.6,50,84
108,서울,2017-03-31 18:00,7.7,0,2.6,50,82
108,서울,2017-03-31 19:00,6.9,,2.8,70,79
108,서울,2017-03-31 20:00,6.3,,4.1,50,79
108,서울,2017-03-31 21:00,6.1,,3.4,50,78
112,인천,2017-03-31 11:00,11.7,,3.7,230,63
112,인천,2017-03-31 12:00,10,0,3.6,290,72
112,인천,2017-03-31 13:00,9.4,,2,340,82
112,인천,2017-03-31 14:00,10.2,,2.9,20,77
112,인천,2017-03-31 15:00,11,.5,4.6,50,77
112,인천,2017-03-31 16:00,10.4,,5.2,20,75
112,인천,2017-03-31 17:00,10.2,,4.7,50,71
112,인천,2017-03-31 18:00,9.4,,4.1,50,74
112,인천,2017-03-31 19:00,9,,3,50,75
112,인천,2017-03-31 20:00,8.6,,2.8,70,77
112,인천,2017-03-31 21:00,8.4,,4,90,75
115,울릉도,2017-03-31 11:00,8.7,,5.4,50,54
115,울릉도,2017-03-31 12:00,9.9,,5.5,50,47
115,울릉도,2017-03-31 13:00,9.5,,5,50,55
115,울릉도,2017-03-31 14:00,8.8,,5.6,50,54
115,울릉도,2017-03-31 15:00,8.1,,4,50,54
115,울릉도,2017-03-31 16:00,8,,5.6,50,54
115,울릉도,2017-03-31 17:00,7.3,,5.6,50,56
115,울릉도,2017-03-31 18:00,6.1,.2,4.1,50,71
115,울릉도,2017-03-31 19:00,5.5,,3.6,20,69
115,울릉도,2017-03-31 20:00,5.7,,4.6,50,68
115,울릉도,2017-03-31 21:00,5.9,0,4.8,50,66
119,수원,2017-03-31 11:00,11.9,,3.3,180,57
119,수원,2017-03-31 12:00,12.3,,2.8,160,57
119,수원,2017-03-31 13:00,12,,1.7,230,61
119,수원,2017-03-31 14:00,9.8,,2.1,340,95
119,수원,2017-03-31 15:00,11.5,.7,2.2,20,84
119,수원,2017-03-31 16:00,11,,2.3,50,75
119,수원,2017-03-31 17:00,9.2,,4.7,70,76
119,수원,2017-03-31 18:00,7.9,.2,2.4,50,92
119,수원,2017-03-31 19:00,7.7,,1.8,110,88
119,수원,2017-03-31 20:00,7.2,,1.7,70,92
119,수원,2017-03-31 21:00,6.5,0,1.9,70,90
127,충주,2017-03-31 11:00,10.2,,1.9,90,57
127,충주,2017-03-31 12:00,10.3,,2.5,90,58
127,충주,2017-03-31 13:00,10.3,,2,140,56
127,충주,2017-03-31 14:00,11.2,,2.2,160,54
127,충주,2017-03-31 15:00,11.2,,2,180,55
127,충주,2017-03-31 16:00,10.5,,2.9,90,56
127,충주,2017-03-31 17:00,8.1,,.4,0,81
127,충주,2017-03-31 18:00,7.5,4.4,.5,180,90
127,충주,2017-03-31 19:00,7.5,,1.6,110,85
127,충주,2017-03-31 20:00,7.4,,2.5,110,84
